path,patch,lead,out,in,sub,rows,verdict,why,detail,h_db,h_deg,thd_db,noise_db,rms_db
11,P11,K1,AUX 1,MIC 11,,13 25,PASS,the tone arrived on MIC 11 and nowhere else,"this reading is now MIC 11's balanced reference: -3.00 dB, 42.0 deg; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
12,P12,K1,AUX 1,MIC 12,,14 25,PASS,the tone arrived on MIC 12 and nowhere else,"this reading is now MIC 12's balanced reference: -3.00 dB, 42.0 deg; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
13,P13,K1,AUX 1,MIC 13,,5 25,PASS,the tone arrived on MIC 13 and nowhere else,"this reading is now MIC 13's balanced reference: -3.00 dB, 42.0 deg; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
14,P14,K1,AUX 1,MIC 14,,6 25,PASS,the tone arrived on MIC 14 and nowhere else,"this reading is now MIC 14's balanced reference: -3.00 dB, 42.0 deg; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
15,P15,K1,AUX 1,MIC 15,,7 25,PASS,the tone arrived on MIC 15 and nowhere else,"this reading is now MIC 15's balanced reference: -3.00 dB, 42.0 deg; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
16,P16,K1,AUX 1,MIC 16,,8 25,PASS,the tone arrived on MIC 16 and nowhere else,"this reading is now MIC 16's balanced reference: -3.00 dB, 42.0 deg; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
17,P17,K1,AUX 1,MIC 17,,15 25,PASS,the tone arrived on MIC 17 and nowhere else,"this reading is now MIC 17's balanced reference: -3.00 dB, 42.0 deg; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
18,P18,K1,AUX 1,MIC 18,,16 25,PASS,the tone arrived on MIC 18 and nowhere else,"this reading is now MIC 18's balanced reference: -3.00 dB, 42.0 deg; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
19,P19,K1,AUX 1,MIC 19,,17 25,PASS,the tone arrived on MIC 19 and nowhere else,"this reading is now MIC 19's balanced reference: -3.00 dB, 42.0 deg; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
20,P20,K1,AUX 1,MIC 20,,24 25,PASS,the tone arrived on MIC 20 and nowhere else,"this reading is now MIC 20's balanced reference: -3.00 dB, 42.0 deg; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
21,P21,K1,AUX 1,MIC 21,,18 25,PASS,the tone arrived on MIC 21 and nowhere else,"this reading is now MIC 21's balanced reference: -3.00 dB, 42.0 deg; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
22,P22,K1,AUX 1,MIC 22,,19 25,PASS,the tone arrived on MIC 22 and nowhere else,"this reading is now MIC 22's balanced reference: -3.00 dB, 42.0 deg; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
23,P23,K1,AUX 1,MIC 23,,20 25,PASS,the tone arrived on MIC 23 and nowhere else,"this reading is now MIC 23's balanced reference: -3.00 dB, 42.0 deg; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
24,P24,K1,AUX 1,MIC 24,,21 25,PASS,the tone arrived on MIC 24 and nowhere else,"this reading is now MIC 24's balanced reference: -3.00 dB, 42.0 deg; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
25,P25,K1,AUX 1,TALKBACK,,25 38,PASS,the tone arrived on TALKBACK and nowhere else,"-3.00 dB loop gain, reported: no window is ruled for this path yet; phase 42.0 deg, reported only; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
26,P26,K5,,MIC 1,,1,PASS,the input noise was measured with a 150 ohm source,"-96.0 dBFS at the lane with the terminator fitted; no EIN window is ruled for the factory station yet: the figure is recorded, and limits.csv t4b_ein_max_dbu is the design reference",,,-72.000,-156.000,-96.000
27,P27,K5,,MIC 2,,2,PASS,the input noise was measured with a 150 ohm source,"-96.0 dBFS at the lane with the terminator fitted; no EIN window is ruled for the factory station yet: the figure is recorded, and limits.csv t4b_ein_max_dbu is the design reference",,,-72.000,-156.000,-96.000
28,P28,K5,,MIC 3,,3,PASS,the input noise was measured with a 150 ohm source,"-96.0 dBFS at the lane with the terminator fitted; no EIN window is ruled for the factory station yet: the figure is recorded, and limits.csv t4b_ein_max_dbu is the design reference",,,-72.000,-156.000,-96.000
29,P29,K5,,MIC 4,,4,PASS,the input noise was measured with a 150 ohm source,"-96.0 dBFS at the lane with the terminator fitted; no EIN window is ruled for the factory station yet: the figure is recorded, and limits.csv t4b_ein_max_dbu is the design reference",,,-72.000,-156.000,-96.000
30,P30,K5,,MIC 5,,9,PASS,the input noise was measured with a 150 ohm source,"-96.0 dBFS at the lane with the terminator fitted; no EIN window is ruled for the factory station yet: the figure is recorded, and limits.csv t4b_ein_max_dbu is the design reference",,,-72.000,-156.000,-96.000
31,P31,K5,,MIC 6,,10,PASS,the input noise was measured with a 150 ohm source,"-96.0 dBFS at the lane with the terminator fitted; no EIN window is ruled for the factory station yet: the figure is recorded, and limits.csv t4b_ein_max_dbu is the design reference",,,-72.000,-156.000,-96.000
32,P32,K5,,MIC 7,,22,PASS,the input noise was measured with a 150 ohm source,"-96.0 dBFS at the lane with the terminator fitted; no EIN window is ruled for the factory station yet: the figure is recorded, and limits.csv t4b_ein_max_dbu is the design reference",,,-72.000,-156.000,-96.000
33,P33,K5,,MIC 8,,23,PASS,the input noise was measured with a 150 ohm source,"-96.0 dBFS at the lane with the terminator fitted; no EIN window is ruled for the factory station yet: the figure is recorded, and limits.csv t4b_ein_max_dbu is the design reference",,,-72.000,-156.000,-96.000
34,P34,K5,,MIC 9,,11,PASS,the input noise was measured with a 150 ohm source,"-96.0 dBFS at the lane with the terminator fitted; no EIN window is ruled for the factory station yet: the figure is recorded, and limits.csv t4b_ein_max_dbu is the design reference",,,-72.000,-156.000,-96.000
35,P35,K5,,MIC 10,,12,PASS,the input noise was measured with a 150 ohm source,"-96.0 dBFS at the lane with the terminator fitted; no EIN window is ruled for the factory station yet: the figure is recorded, and limits.csv t4b_ein_max_dbu is the design reference",,,-72.000,-156.000,-96.000
36,P36,K5,,MIC 11,,13,PASS,the input noise was measured with a 150 ohm source,"-96.0 dBFS at the lane with the terminator fitted; no EIN window is ruled for the factory station yet: the figure is recorded, and limits.csv t4b_ein_max_dbu is the design reference",,,-72.000,-156.000,-96.000
37,P37,K5,,MIC 12,,14,PASS,the input noise was measured with a 150 ohm source,"-96.0 dBFS at the lane with the terminator fitted; no EIN window is ruled for the factory station yet: the figure is recorded, and limits.csv t4b_ein_max_dbu is the design reference",,,-72.000,-156.000,-96.000
38,P38,K5,,MIC 13,,5,PASS,the input noise was measured with a 150 ohm source,"-96.0 dBFS at the lane with the terminator fitted; no EIN window is ruled for the factory station yet: the figure is recorded, and limits.csv t4b_ein_max_dbu is the design reference",,,-72.000,-156.000,-96.000
39,P39,K5,,MIC 14,,6,PASS,the input noise was measured with a 150 ohm source,"-96.0 dBFS at the lane with the terminator fitted; no EIN window is ruled for the factory station yet: the figure is recorded, and limits.csv t4b_ein_max_dbu is the design reference",,,-72.000,-156.000,-96.000
40,P40,K5,,MIC 15,,7,PASS,the input noise was measured with a 150 ohm source,"-96.0 dBFS at the lane with the terminator fitted; no EIN window is ruled for the factory station yet: the figure is recorded, and limits.csv t4b_ein_max_dbu is the design reference",,,-72.000,-156.000,-96.000
41,P41,K5,,MIC 16,,8,PASS,the input noise was measured with a 150 ohm source,"-96.0 dBFS at the lane with the terminator fitted; no EIN window is ruled for the factory station yet: the figure is recorded, and limits.csv t4b_ein_max_dbu is the design reference",,,-72.000,-156.000,-96.000
42,P42,K5,,MIC 17,,15,PASS,the input noise was measured with a 150 ohm source,"-96.0 dBFS at the lane with the terminator fitted; no EIN window is ruled for the factory station yet: the figure is recorded, and limits.csv t4b_ein_max_dbu is the design reference",,,-72.000,-156.000,-96.000
43,P43,K5,,MIC 18,,16,PASS,the input noise was measured with a 150 ohm source,"-96.0 dBFS at the lane with the terminator fitted; no EIN window is ruled for the factory station yet: the figure is recorded, and limits.csv t4b_ein_max_dbu is the design reference",,,-72.000,-156.000,-96.000
44,P44,K5,,MIC 19,,17,PASS,the input noise was measured with a 150 ohm source,"-96.0 dBFS at the lane with the terminator fitted; no EIN window is ruled for the factory station yet: the figure is recorded, and limits.csv t4b_ein_max_dbu is the design reference",,,-72.000,-156.000,-96.000
45,P45,K5,,MIC 20,,24,PASS,the input noise was measured with a 150 ohm source,"-96.0 dBFS at the lane with the terminator fitted; no EIN window is ruled for the factory station yet: the figure is recorded, and limits.csv t4b_ein_max_dbu is the design reference",,,-72.000,-156.000,-96.000
46,P46,K5,,MIC 21,,18,PASS,the input noise was measured with a 150 ohm source,"-96.0 dBFS at the lane with the terminator fitted; no EIN window is ruled for the factory station yet: the figure is recorded, and limits.csv t4b_ein_max_dbu is the design reference",,,-72.000,-156.000,-96.000
47,P47,K5,,MIC 22,,19,PASS,the input noise was measured with a 150 ohm source,"-96.0 dBFS at the lane with the terminator fitted; no EIN window is ruled for the factory station yet: the figure is recorded, and limits.csv t4b_ein_max_dbu is the design reference",,,-72.000,-156.000,-96.000
48,P48,K5,,MIC 23,,20,PASS,the input noise was measured with a 150 ohm source,"-96.0 dBFS at the lane with the terminator fitted; no EIN window is ruled for the factory station yet: the figure is recorded, and limits.csv t4b_ein_max_dbu is the design reference",,,-72.000,-156.000,-96.000
49,P49,K5,,MIC 24,,21,PASS,the input noise was measured with a 150 ohm source,"-96.0 dBFS at the lane with the terminator fitted; no EIN window is ruled for the factory station yet: the figure is recorded, and limits.csv t4b_ein_max_dbu is the design reference",,,-72.000,-156.000,-96.000
50,P50,K4,AUX 1,MIC 1 line,,,PASS,the tone arrived on MIC 1 line and nowhere else,"-3.00 dB loop gain, reported: no window is ruled for this path yet; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
51,P51,K4,AUX 1,MIC 2 line,,,PASS,the tone arrived on MIC 2 line and nowhere else,"-3.00 dB loop gain, reported: no window is ruled for this path yet; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
52,P52,K4,AUX 1,MIC 3 line,,,PASS,the tone arrived on MIC 3 line and nowhere else,"-3.00 dB loop gain, reported: no window is ruled for this path yet; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
53,P53,K4,AUX 1,MIC 4 line,,,PASS,the tone arrived on MIC 4 line and nowhere else,"-3.00 dB loop gain, reported: no window is ruled for this path yet; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
54,P54,K4,AUX 1,MIC 5 line,,,PASS,the tone arrived on MIC 5 line and nowhere else,"-3.00 dB loop gain, reported: no window is ruled for this path yet; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
55,P55,K4,AUX 1,MIC 6 line,,,PASS,the tone arrived on MIC 6 line and nowhere else,"-3.00 dB loop gain, reported: no window is ruled for this path yet; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
56,P56,K4,AUX 1,MIC 7 line,,,PASS,the tone arrived on MIC 7 line and nowhere else,"-3.00 dB loop gain, reported: no window is ruled for this path yet; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
57,P57,K4,AUX 1,MIC 8 line,,,PASS,the tone arrived on MIC 8 line and nowhere else,"-3.00 dB loop gain, reported: no window is ruled for this path yet; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
58,P58,K4,AUX 1,MIC 9 line,,,PASS,the tone arrived on MIC 9 line and nowhere else,"-3.00 dB loop gain, reported: no window is ruled for this path yet; polarity not judged: this lane has no reference phase yet; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
59,P59,K4,AUX 1,MIC 10 line,,,PASS,the tone arrived on MIC 10 line and nowhere else,"-3.00 dB loop gain, reported: no window is ruled for this path yet; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
60,P60,K4,AUX 1,MIC 11 line,,,PASS,the tone arrived on MIC 11 line and nowhere else,"-3.00 dB loop gain, reported: no window is ruled for this path yet; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
61,P61,K4,AUX 1,MIC 12 line,,,PASS,the tone arrived on MIC 12 line and nowhere else,"-3.00 dB loop gain, reported: no window is ruled for this path yet; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
62,P62,K4,AUX 1,MIC 13 line,,,PASS,the tone arrived on MIC 13 line and nowhere else,"-3.00 dB loop gain, reported: no window is ruled for this path yet; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
63,P63,K4,AUX 1,MIC 14 line,,,PASS,the tone arrived on MIC 14 line and nowhere else,"-3.00 dB loop gain, reported: no window is ruled for this path yet; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
64,P64,K4,AUX 1,MIC 15 line,,,PASS,the tone arrived on MIC 15 line and nowhere else,"-3.00 dB loop gain, reported: no window is ruled for this path yet; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
65,P65,K4,AUX 1,MIC 16 line,,,PASS,the tone arrived on MIC 16 line and nowhere else,"-3.00 dB loop gain, reported: no window is ruled for this path yet; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
66,P66,K4,AUX 1,MIC 17 line,,,PASS,the tone arrived on MIC 17 line and nowhere else,"-3.00 dB loop gain, reported: no window is ruled for this path yet; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
67,P67,K4,AUX 1,MIC 18 line,,,PASS,the tone arrived on MIC 18 line and nowhere else,"-3.00 dB loop gain, reported: no window is ruled for this path yet; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
68,P68,K4,AUX 1,MIC 19 line,,,PASS,the tone arrived on MIC 19 line and nowhere else,"-3.00 dB loop gain, reported: no window is ruled for this path yet; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
69,P69,K4,AUX 1,MIC 20 line,,,PASS,the tone arrived on MIC 20 line and nowhere else,"-3.00 dB loop gain, reported: no window is ruled for this path yet; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
70,P70,K4,AUX 1,MIC 21 line,,,PASS,the tone arrived on MIC 21 line and nowhere else,"-3.00 dB loop gain, reported: no window is ruled for this path yet; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
71,P71,K4,AUX 1,MIC 22 line,,,PASS,the tone arrived on MIC 22 line and nowhere else,"-3.00 dB loop gain, reported: no window is ruled for this path yet; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
72,P72,K4,AUX 1,MIC 23 line,,,PASS,the tone arrived on MIC 23 line and nowhere else,"-3.00 dB loop gain, reported: no window is ruled for this path yet; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
73,P73,K4,AUX 1,MIC 24 line,,,PASS,the tone arrived on MIC 24 line and nowhere else,"-3.00 dB loop gain, reported: no window is ruled for this path yet; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
74,P74,K2,MONITOR L,MIC 1,,1 36,PASS,the tone arrived on MIC 1 and nowhere else,"-9.02 dB loop gain, reported: no window is ruled for this path yet; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-9.020,42.000,-72.000,-81.020,-21.020
75,P75,K2,MONITOR R,MIC 1,,1 37,PASS,the tone arrived on MIC 1 and nowhere else,"-9.02 dB loop gain, reported: no window is ruled for this path yet; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-9.020,42.000,-72.000,-81.020,-21.020
76,P76,K2,AUX A 1-2,MIC 1,L,1 39,PASS,"the tone arrived on MIC 1 at the right level, but its polarity could not be called: 90 deg from the reference","-9.02 dB, which is +0.00 dB from the -9.02 dB this lane's balanced reference predicts; polarity UNCERTAIN: 90 deg from the reference, too near the 90 deg boundary to call; THD+N -72.00 dB = 0.025 %",-9.020,132.000,-72.000,-81.020,-21.020
77,P76,K2,AUX A 1-2,MIC 1,R,1 39,PASS,"the tone arrived on MIC 1 at the right level, but its polarity could not be called: 90 deg from the reference","-9.02 dB, which is +0.00 dB from the -9.02 dB this lane's balanced reference predicts; within 0.00 dB of the other channel; polarity UNCERTAIN: 90 deg from the reference, too near the 90 deg boundary to call; THD+N -72.00 dB = 0.025 %",-9.020,132.000,-72.000,-81.020,-21.020
78,P76,K2,AUX A 1-2,MIC 1,null,1 39,PASS,the two channels cancelled to -34.0 dB below either one,-34.0 dB below the louder of the two channels,-43.020,132.000,-72.000,-115.020,-55.020
79,P77,K2,AUX A 3-4,MIC 1,L,1 40,FAIL,"this channel came back inverted, which on a stereo jack is tip and ring swapped","-9.02 dB, which is +0.00 dB from the -9.02 dB this lane's balanced reference predicts",-9.020,222.000,-72.000,-81.020,-21.020
80,P77,K2,AUX A 3-4,MIC 1,R,1 40,FAIL,this channel came back normal and should be inverted,"-9.02 dB, which is +0.00 dB from the -9.02 dB this lane's balanced reference predicts; within 0.00 dB of the other channel",-9.020,42.000,-72.000,-81.020,-21.020
81,P77,K2,AUX A 3-4,MIC 1,null,1 40,PASS,the two channels cancelled to -34.0 dB below either one,-34.0 dB below the louder of the two channels,-43.020,222.000,-72.000,-115.020,-55.020
82,P78,K2,AUX A 5-6,MIC 1,L,1 41,PASS,the tone arrived on MIC 1 and nowhere else,"-9.02 dB, which is +0.00 dB from the -9.02 dB this lane's balanced reference predicts; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-9.020,42.000,-72.000,-81.020,-21.020
83,P78,K2,AUX A 5-6,MIC 1,R,1 41,PASS,the tone arrived on MIC 1 and nowhere else,"-9.02 dB, which is +0.00 dB from the -9.02 dB this lane's balanced reference predicts; within 0.00 dB of the other channel; polarity inverted, 180 deg from the reference; THD+N -72.00 dB = 0.025 %",-9.020,222.000,-72.000,-81.020,-21.020
84,P78,K2,AUX A 5-6,MIC 1,null,1 41,FAIL,"the two channels did not cancel: only -4.0 dB down, so they are not matched or they are crossed",-4.0 dB below the louder of the two channels,-13.020,42.000,-72.000,-85.020,-25.020
85,P79,K2,AUX A 7-8,MIC 1,L,1 42,PASS,the tone arrived on MIC 1 and nowhere else,"-9.02 dB, which is +0.00 dB from the -9.02 dB this lane's balanced reference predicts; polarity normal, 0 deg from the reference; THD+N -72.00 dB = 0.025 %",-9.020,42.000,-72.000,-81.020,-21.020
86,P79,K2,AUX A 7-8,MIC 1,R,1 42,PASS,the tone arrived on MIC 1 and nowhere else,"-9.02 dB, which is +0.00 dB from the -9.02 dB this lane's balanced reference predicts; within 0.00 dB of the other channel; polarity inverted, 180 deg from the reference; THD+N -72.00 dB = 0.025 %",-9.020,222.000,-72.000,-81.020,-21.020
87,P79,K2,AUX A 7-8,MIC 1,null,1 42,PASS,the two channels cancelled to -34.0 dB below either one,-34.0 dB below the louder of the two channels,-43.020,42.000,-72.000,-115.020,-55.020
88,P80,K3,AUX 1,MINI-JACK 1,L,95,PASS,the tone arrived on MINI-JACK 1 and nowhere else,"no balanced reference on this lane yet, so the level is reported and not judged; phase 42.0 deg, reported only; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
89,P80,K3,AUX 1,MINI-JACK 1,R,95,PASS,the tone arrived on MINI-JACK 1 and nowhere else,"no balanced reference on this lane yet, so the level is reported and not judged; within 0.00 dB of the other channel; phase 42.0 deg, reported only; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
90,P81,K3,AUX 1,MINI-JACK 2,L,96,PASS,the tone arrived on MINI-JACK 2 and nowhere else,"no balanced reference on this lane yet, so the level is reported and not judged; phase 42.0 deg, reported only; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
91,P81,K3,AUX 1,MINI-JACK 2,R,96,PASS,the tone arrived on MINI-JACK 2 and nowhere else,"no balanced reference on this lane yet, so the level is reported and not judged; within 0.00 dB of the other channel; phase 42.0 deg, reported only; THD+N -72.00 dB = 0.025 %",-3.000,42.000,-72.000,-75.000,-15.000
