# d24/dsp-unmapped.csv — defined cells with NO DSP address.
#
# GENERATED alongside dsp.csv by MW/D32/DSP/gen_dsp.py. The companion
# to it: dsp.csv says where a cell lives, this says why it lives
# nowhere. A family in neither file stops the generator.
#
# Class:  host-managed | mcu-only | label | surface-state |
#         hardware-control | control-plane | no-graph-node |
#         unbacked-meter | s1-2-no-behaviour
#
# no-graph-node is the list that costs work: a DSP function this
# product defines and the graph does not build.
#
_Cell,Class,Reason
Aux005Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux005DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux005Name001,label,"text label; the host stores it, the DSP has no word for it"
Aux005PickOff001,no-graph-node,aux-master send pickoff; the DSP pickoff is per crosspoint (Chan*AuxPick*) and there is no aux-master word — open question Q4
Aux006Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux006DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux006Name001,label,"text label; the host stores it, the DSP has no word for it"
Aux006PickOff001,no-graph-node,aux-master send pickoff; the DSP pickoff is per crosspoint (Chan*AuxPick*) and there is no aux-master word — open question Q4
Aux007Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux007DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux007Name001,label,"text label; the host stores it, the DSP has no word for it"
Aux007PickOff001,no-graph-node,aux-master send pickoff; the DSP pickoff is per crosspoint (Chan*AuxPick*) and there is no aux-master word — open question Q4
Aux008Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux008DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Aux008Name001,label,"text label; the host stores it, the DSP has no word for it"
Aux008PickOff001,no-graph-node,aux-master send pickoff; the DSP pickoff is per crosspoint (Chan*AuxPick*) and there is no aux-master word — open question Q4
Bt001Src001,hardware-control,Bluetooth receiver source select — MCU hardware control
Chan001AntiClip001,no-graph-node,per-channel anti-clip; no node in the graph implements it
Chan001Color001,surface-state,strip colour on the surface
Chan001CompMtr001,unbacked-meter,C1_MTR_01 declares tap 'comp_gr': no meter word exists; base+3 is the meter's own state array
Chan001CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan001Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan001DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan001InsertOn001,hardware-control,analogue insert relay
Chan001Instr001,hardware-control,instrument / Hi-Z input mode
Chan001Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan001MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan001MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan001MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan001MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan001MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan001MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan001MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan001MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan001Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan002AntiClip001,no-graph-node,per-channel anti-clip; no node in the graph implements it
Chan002Color001,surface-state,strip colour on the surface
Chan002CompMtr001,unbacked-meter,C1_MTR_02 declares tap 'comp_gr': no meter word exists; base+3 is the meter's own state array
Chan002CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan002Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan002DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan002InsertOn001,hardware-control,analogue insert relay
Chan002Instr001,hardware-control,instrument / Hi-Z input mode
Chan002Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan002MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan002MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan002MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan002MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan002MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan002MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan002MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan002MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan002Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan003AntiClip001,no-graph-node,per-channel anti-clip; no node in the graph implements it
Chan003Color001,surface-state,strip colour on the surface
Chan003CompMtr001,unbacked-meter,C1_MTR_03 declares tap 'comp_gr': no meter word exists; base+3 is the meter's own state array
Chan003CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan003Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan003DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan003InsertOn001,hardware-control,analogue insert relay
Chan003Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan003MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan003MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan003MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan003MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan003MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan003MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan003MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan003MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan003Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan004AntiClip001,no-graph-node,per-channel anti-clip; no node in the graph implements it
Chan004Color001,surface-state,strip colour on the surface
Chan004CompMtr001,unbacked-meter,C1_MTR_04 declares tap 'comp_gr': no meter word exists; base+3 is the meter's own state array
Chan004CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan004Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan004DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan004InsertOn001,hardware-control,analogue insert relay
Chan004Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan004MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan004MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan004MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan004MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan004MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan004MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan004MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan004MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan004Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan005AntiClip001,no-graph-node,per-channel anti-clip; no node in the graph implements it
Chan005Color001,surface-state,strip colour on the surface
Chan005CompMtr001,unbacked-meter,C1_MTR_05 declares tap 'comp_gr': no meter word exists; base+3 is the meter's own state array
Chan005CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan005Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan005DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan005InsertOn001,hardware-control,analogue insert relay
Chan005Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan005MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan005MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan005MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan005MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan005MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan005MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan005MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan005MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan005Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan006AntiClip001,no-graph-node,per-channel anti-clip; no node in the graph implements it
Chan006Color001,surface-state,strip colour on the surface
Chan006CompMtr001,unbacked-meter,C1_MTR_06 declares tap 'comp_gr': no meter word exists; base+3 is the meter's own state array
Chan006CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan006Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan006DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan006InsertOn001,hardware-control,analogue insert relay
Chan006Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan006MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan006MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan006MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan006MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan006MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan006MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan006MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan006MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan006Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan007AntiClip001,no-graph-node,per-channel anti-clip; no node in the graph implements it
Chan007Color001,surface-state,strip colour on the surface
Chan007CompMtr001,unbacked-meter,C1_MTR_07 declares tap 'comp_gr': no meter word exists; base+3 is the meter's own state array
Chan007CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan007Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan007DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan007InsertOn001,hardware-control,analogue insert relay
Chan007Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan007MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan007MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan007MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan007MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan007MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan007MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan007MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan007MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan007Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan008AntiClip001,no-graph-node,per-channel anti-clip; no node in the graph implements it
Chan008Color001,surface-state,strip colour on the surface
Chan008CompMtr001,unbacked-meter,C1_MTR_08 declares tap 'comp_gr': no meter word exists; base+3 is the meter's own state array
Chan008CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan008Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan008DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan008InsertOn001,hardware-control,analogue insert relay
Chan008Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan008MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan008MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan008MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan008MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan008MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan008MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan008MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan008MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan008Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan009AntiClip001,no-graph-node,per-channel anti-clip; no node in the graph implements it
Chan009Color001,surface-state,strip colour on the surface
Chan009CompMtr001,unbacked-meter,C1_MTR_09 declares tap 'comp_gr': no meter word exists; base+3 is the meter's own state array
Chan009CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan009Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan009DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan009InsertOn001,hardware-control,analogue insert relay
Chan009Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan009MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan009MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan009MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan009MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan009MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan009MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan009MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan009MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan009Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan010AntiClip001,no-graph-node,per-channel anti-clip; no node in the graph implements it
Chan010Color001,surface-state,strip colour on the surface
Chan010CompMtr001,unbacked-meter,C1_MTR_10 declares tap 'comp_gr': no meter word exists; base+3 is the meter's own state array
Chan010CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan010Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan010DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan010InsertOn001,hardware-control,analogue insert relay
Chan010Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan010MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan010MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan010MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan010MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan010MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan010MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan010MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan010MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan010Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan011AntiClip001,no-graph-node,per-channel anti-clip; no node in the graph implements it
Chan011Color001,surface-state,strip colour on the surface
Chan011CompMtr001,unbacked-meter,C1_MTR_11 declares tap 'comp_gr': no meter word exists; base+3 is the meter's own state array
Chan011CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan011Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan011DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan011InsertOn001,hardware-control,analogue insert relay
Chan011Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan011MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan011MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan011MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan011MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan011MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan011MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan011MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan011MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan011Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan012AntiClip001,no-graph-node,per-channel anti-clip; no node in the graph implements it
Chan012Color001,surface-state,strip colour on the surface
Chan012CompMtr001,unbacked-meter,C1_MTR_12 declares tap 'comp_gr': no meter word exists; base+3 is the meter's own state array
Chan012CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan012Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan012DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan012InsertOn001,hardware-control,analogue insert relay
Chan012Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan012MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan012MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan012MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan012MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan012MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan012MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan012MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan012MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan012Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan013AntiClip001,no-graph-node,per-channel anti-clip; no node in the graph implements it
Chan013Color001,surface-state,strip colour on the surface
Chan013CompMtr001,unbacked-meter,C1_MTR_13 declares tap 'comp_gr': no meter word exists; base+3 is the meter's own state array
Chan013CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan013Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan013DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan013InsertOn001,hardware-control,analogue insert relay
Chan013Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan013MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan013MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan013MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan013MuteGrp004,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan013MuteGrp005,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan013MuteGrp006,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan013MuteGrp007,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan013MuteGrp008,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan013Name001,label,"text label; the host stores it, the DSP has no word for it"
Chan014AntiClip001,no-graph-node,per-channel anti-clip; no node in the graph implements it
Chan014Color001,surface-state,strip colour on the surface
Chan014CompMtr001,unbacked-meter,C1_MTR_14 declares tap 'comp_gr': no meter word exists; base+3 is the meter's own state array
Chan014CueSel001,control-plane,PFL/cue select; the DSP has one monitor source word (Mon001InputSel001) that the host writes — open question Q5
Chan014Dca001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan014DcaOn001,host-managed,"the host owns the value outright — no DSP address, no kernel read (PW ruling 2026-08-30)"
Chan014InsertOn001,hardware-control,analogue insert relay
Chan014Link001,surface-state,stereo link of adjacent strips; the host writes both strips
Chan014MuteGrp001,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan014MuteGrp002,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
Chan014MuteGrp003,control-plane,"mute-group membership; folded by the host onto the strip mute, the same shape as Dca (PW ruling 2026-08-30)"
