num,item,runner,requires_pair_boot,requires_an_en,requires_cs_m_driven,requires_codec_init,requires_595,requires_app,requires_image,requires_fixture,requires_press,requires_meter,handback,est_setup_s,est_run_s,evidence
139,Link 'dig-dsp-a',tools/pi/d24_selftest.py --section C --only AS-DSPA,yes,no,yes,no,none,d24-testui (matrix-app STOPPED),shipping,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,4,"AS-DSPA: tools/pi/d24_selftest.py:1093-1094 -> _as_dsp :1072-1091 (diag, heartbeat, buildcfg, rxscan)"
140,Link 'dig-dsp-b',tools/pi/d24_selftest.py --section C --only AS-DSPB,yes,no,yes,no,none,d24-testui (matrix-app STOPPED),shipping,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,3,"AS-DSPB: tools/pi/d24_selftest.py:1097-1098 -> _as_dsp :1072-1091 (no rxscan for chip 2, :1081)"
141,Link 'dig-analog-adc',tools/pi/d24_selftest.py --section C --only AS-ADC,yes,yes,yes,no,none,d24-testui (matrix-app STOPPED),shipping,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,2,"AS-ADC: tools/pi/d24_selftest.py:1162-1207 -- rxscan; AN_EN is read at :1176 and a STATIC lane with the rails DOWN is NO DATA, not FAIL (:1199-1205)"
142,Link 'dig-analog-dac',tools/pi/d24_selftest.py --section C --only AS-DAC,yes,no,yes,no,none,d24-testui (matrix-app STOPPED),test-node-pair,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,4,"AS-DAC: tools/pi/d24_selftest.py:1209-1229 -- s89_slotcap.py; the criterion needs TEST_OSC running, which exists only under DSP4_TEST_NODES=1 (:1222-1229)"
143,Link 'dig-panel-a',tools/pi/d24_selftest.py --section B --only ML-P1,no,no,no,no,none,d24-testui (matrix-app STOPPED),n/a,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,5,ML-P1: tools/pi/d24_selftest.py:702-703 -> _panel :685-700 -> _bus --mode stest
144,Link 'dig-panel-b',tools/pi/d24_selftest.py --section B --only ML-P2,no,no,no,no,none,d24-testui (matrix-app STOPPED),n/a,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,5,ML-P2: tools/pi/d24_selftest.py:706-707 -> _panel :685-700 -> _bus --mode stest
151,Link 'hdmi-pwr',tools/pi/d24_selftest.py --section A --only HD-PWR,no,no,no,no,none,either,n/a,none,no,no,nothing (the run never stops the app),1,0,"HD-PWR: tools/pi/d24_selftest.py:383-389 -- inferred from r.results[""HD0-1""], no read of its own"
193,CM4 compute module,tools/pi/d24_selftest.py --section A --only AS-CM4,no,no,no,no,none,either,n/a,none,no,no,nothing (the run never stops the app),1,1,AS-CM4: tools/pi/d24_selftest.py:593-623; accepts matrix-app OR d24-testui (:594-599)
194,SHARC DSP A (ADSP-21564),tools/pi/d24_selftest.py --section C --only AS-DSPA,yes,no,yes,no,none,d24-testui (matrix-app STOPPED),shipping,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,4,"AS-DSPA: tools/pi/d24_selftest.py:1093-1094 -> _as_dsp :1072-1091 (diag, heartbeat, buildcfg, rxscan)"
195,SHARC DSP B (ADSP-21564),tools/pi/d24_selftest.py --section C --only AS-DSPB,yes,no,yes,no,none,d24-testui (matrix-app STOPPED),shipping,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,3,"AS-DSPB: tools/pi/d24_selftest.py:1097-1098 -> _as_dsp :1072-1091 (no rxscan for chip 2, :1081)"
196,CPLD clock master (MAX V),tools/pi/d24_selftest.py --section C --only AS-CPLD,yes,no,yes,no,none,d24-testui (matrix-app STOPPED),shipping,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,25,AS-CPLD: tools/pi/d24_selftest.py:1101-1127 -- dsp4_logic_id.py + dsp4_blk30.py 1 10 and 2 10 (two 10 s overrun windows)
197,DAC AK4458 ×2,tools/pi/d24_selftest.py --section C --only AS-DAC,yes,no,yes,no,none,d24-testui (matrix-app STOPPED),test-node-pair,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,4,"AS-DAC: tools/pi/d24_selftest.py:1209-1229 -- s89_slotcap.py; the criterion needs TEST_OSC running, which exists only under DSP4_TEST_NODES=1 (:1222-1229)"
198,"ADC AK5558 ×3 (U15 dead, U39, U60)",tools/pi/d24_selftest.py --section C --only AS-ADC,yes,yes,yes,no,none,d24-testui (matrix-app STOPPED),shipping,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,2,"AS-ADC: tools/pi/d24_selftest.py:1162-1207 -- rxscan; AN_EN is read at :1176 and a STATIC lane with the rails DOWN is NO DATA, not FAIL (:1199-1205)"
199,Codec AK4619,"tools/pi/d24_selftest.py --section B --only CC1,CC2",no,no,no,no,none,d24-testui (matrix-app STOPPED),n/a,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,3,"CC1: tools/pi/d24_selftest.py:1006-1014 -> _codec_read :996-1004 -> codec4619.py --read 05 on the H1S1 bus | CC2: tools/pi/d24_selftest.py:1016-1044; writes and restores 05H, caches r._cc1_val from CC1"
200,"Power MCU (STM32F030F4, always-on)",tools/pi/d24_selftest.py --section C --only AS-PWR,no,no,no,no,none,d24-testui (matrix-app STOPPED),n/a,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,0,AS-PWR: tools/pi/d24_selftest.py:1231-1240 -- static NO DATA plus one pinctrl get 26
201,M MCU (STM32G031),tools/pi/d24_selftest.py --section B --only ML-M,no,no,no,no,none,d24-testui (matrix-app STOPPED),n/a,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,5,"ML-M: tools/pi/d24_selftest.py:673-683 -> _bus --mode stest; leans on r.results[""ML1""]"
202,S MCU H1S1 (STM32U575),"tools/pi/d24_selftest.py --section B --only ML1,ML2",no,no,no,no,none,d24-testui (matrix-app STOPPED),n/a,none,no,no,"session handback: 595 SAFE, CS_M op dh, AN_EN as found",20,4,"ML1: tools/pi/d24_selftest.py:647-659 -> _bus :638-645 -> d24_bus_probe.py --mode cell; tools/pi/d24_bus_probe.py:25 ""matrix-app owns /dev/serial0"" | ML2: tools/pi/d24_selftest.py:661-671; md5sum of H1S1.shex only -- no bus transaction"
203,TFT display,"tools/pi/d24_selftest.py --section A --only HD0-1,HD0-2",no,no,no,no,none,either,n/a,none,no,no,nothing (the run never stops the app),1,3,HD0-1: tools/pi/d24_selftest.py:319-340 (sysfs status/edid/modes + kmsprint only); main :2366 is outside the app_stop at :2377 | HD0-2: tools/pi/d24_selftest.py:342-379 harvests /tmp/d24_hdsoak.log; the sampler is started at :2350-2364 and WIPED at :2352 on every press that names HD0-2
