cell,family,wire_max,scale_law,dsp_page,dsp_addr,unit,kernel_expects,note
MainL[1-1]CompKey[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainL[1-1]CompLimMode[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainL[1-1]CompThr[1-1],MainComp,,0=-60/140=10/[Lin],,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainL[1-1]CompType[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainL[1-1]CrossoverFreq[1-1],MainCrossover,,,,,UNDECLARED,,
MainL[1-1]CrossoverSlope[1-1],MainCrossover,,,,,UNDECLARED,,
MainL[1-1]EqFreq[1-1],MainEq,127,0=20/254=200/[Log],,,UNDECLARED,,
MainL[1-1]EqFreq[2-2],MainEq,127,0=100/254=1000/[Log],,,UNDECLARED,,
MainL[1-1]EqFreq[3-3],MainEq,127,0=800/254=5000/[Log],,,UNDECLARED,,
MainL[1-1]EqFreq[4-4],MainEq,127,0=3000/254=20000/[Log],,,UNDECLARED,,
MainL[1-1]EqGain[1-4],MainEq,60,0=-15/120=15/[Lin],,,UNDECLARED,,
MainL[1-1]EqHpf[1-4],MainEq,32,0=20/64=1000/[Log],,,UNDECLARED,,
MainL[1-1]EqOn[1-1],MainEq,,,,,UNDECLARED,,
MainL[1-1]EqQ[1-4],MainEq,60,0=0.1/120=10/[Log],,,UNDECLARED,,
MainL[1-1]EqShelf[1-2],MainEq,,,,,UNDECLARED,,
MainL[1-1]LimiterAtt[1-1],MainLimiter,,0=0.1/127=100/[Log],,,UNDECLARED,,
MainL[1-1]LimiterOn[1-1],MainLimiter,,,,,UNDECLARED,,
MainL[1-1]LimiterRel[1-1],MainLimiter,,0=5/127=2000/[Log],,,UNDECLARED,,
MainL[1-1]LimiterRng[1-1],MainLimiter,,0=0/127=60/[Lin],,,UNDECLARED,,
MainL[1-1]LimiterThr[1-1],MainLimiter,,0=-30/127=0/[Lin],,,UNDECLARED,,
MainL[1-1]PeqGain[1-12],MainLPeqGain,32,0=-12/127=12/[Lin],,,UNDECLARED,,
MainL[1-1]Dca[1-1],MainLDca,,,,,UNDECLARED,,
MainL[1-1]Level[1-1],MainLLevel,,dB:Off:-50@31:-30@63:-10@127:10,,,UNDECLARED,,
MainL[1-1]Mute[1-1],MainLMute,,,,,UNDECLARED,,
MainL[1-1]Delay[1-1],MainLDelay,,,,,UNDECLARED,,
MainL[1-1]Mtr[1-1],MainLMtr,,,,,UNDECLARED,,
MainL[1-1]Name[1-1],MainLName,,,,,UNDECLARED,,
MainR[1-1]CompAtt[1-1],MainComp,,0=0/254=250/[Log],,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainR[1-1]CompKnee[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainR[1-1]CompMake[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainR[1-1]CompOn[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainR[1-1]CompPar[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainR[1-1]CompRat[1-1],MainComp,,0=1/127=30/[Log],,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainR[1-1]CompRel[1-1],MainComp,,0=5/254=5000/[Log],,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainR[1-1]CompDetSrc[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainR[1-1]CompEqPos[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainR[1-1]CompFilterHpf[1-1],MainComp,32,0=20/64=1000/[Log],,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainR[1-1]CompFilterLpf[1-1],MainComp,127,0=500/127=20000/[Log],,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainR[1-1]CompFilterOn[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainR[1-1]CompFilterQ[1-1],MainComp,7,0=0.1/14=10/[Log],,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainR[1-1]CompKey[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainR[1-1]CompLimMode[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainR[1-1]CompThr[1-1],MainComp,,0=-60/140=10/[Lin],,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainR[1-1]CompType[1-1],MainComp,,,,,mixed — see per-cell rows,per-parameter,Main L/R compressor family
MainR[1-1]CrossoverFreq[1-1],MainCrossover,,,,,UNDECLARED,,
MainR[1-1]CrossoverSlope[1-1],MainCrossover,,,,,UNDECLARED,,
MainR[1-1]EqFreq[1-1],MainEq,127,0=20/254=200/[Log],,,UNDECLARED,,
MainR[1-1]EqFreq[2-2],MainEq,127,0=100/254=1000/[Log],,,UNDECLARED,,
MainR[1-1]EqFreq[3-3],MainEq,127,0=800/254=5000/[Log],,,UNDECLARED,,
MainR[1-1]EqFreq[4-4],MainEq,127,0=3000/254=20000/[Log],,,UNDECLARED,,
MainR[1-1]EqGain[1-4],MainEq,60,0=-15/120=15/[Lin],,,UNDECLARED,,
MainR[1-1]EqHpf[1-4],MainEq,32,0=20/64=1000/[Log],,,UNDECLARED,,
MainR[1-1]EqOn[1-1],MainEq,,,,,UNDECLARED,,
MainR[1-1]EqQ[1-4],MainEq,60,0=0.1/120=10/[Log],,,UNDECLARED,,
MainR[1-1]EqShelf[1-2],MainEq,,,,,UNDECLARED,,
MainR[1-1]LimiterAtt[1-1],MainLimiter,,0=0.1/127=100/[Log],,,UNDECLARED,,
MainR[1-1]LimiterOn[1-1],MainLimiter,,,,,UNDECLARED,,
MainR[1-1]LimiterRel[1-1],MainLimiter,,0=5/127=2000/[Log],,,UNDECLARED,,
MainR[1-1]LimiterRng[1-1],MainLimiter,,0=0/127=60/[Lin],,,UNDECLARED,,
MainR[1-1]LimiterThr[1-1],MainLimiter,,0=-30/127=0/[Lin],,,UNDECLARED,,
MainR[1-1]PeqGain[1-12],MainRPeqGain,32,0=-12/127=12/[Lin],,,UNDECLARED,,
MainR[1-1]Dca[1-1],MainRDca,,,,,UNDECLARED,,
MainR[1-1]Level[1-1],MainRLevel,,dB:Off:-50@31:-30@63:-10@127:10,,,UNDECLARED,,
MainR[1-1]Mute[1-1],MainRMute,,,,,UNDECLARED,,
MainR[1-1]Delay[1-1],MainRDelay,,,,,UNDECLARED,,
MainR[1-1]Mtr[1-1],MainRMtr,,,,,UNDECLARED,,
MainR[1-1]Name[1-1],MainRName,,,,,UNDECLARED,,
MainSub[1-1]Mtr[1-1],Chan_Mtr,,,,,dBFS readback,Q4.28 fixed via float mirror,meter cells are device->host readback
Aux[1-12]Delay[1-1],AuxDelay,,0=0/127=250/[Log],,,UNDECLARED,,
Aux[1-12]EqFreq[1-1],AuxEq,127,0=20/254=200/[Log][0dp],,,UNDECLARED,,
Aux[1-12]EqFreq[2-2],AuxEq,127,0=100/254=1000/[Log][0dp],,,UNDECLARED,,
Aux[1-12]EqFreq[3-3],AuxEq,127,0=800/254=5000/[Log][0dp],,,UNDECLARED,,
Aux[1-12]EqFreq[4-4],AuxEq,127,0=3000/254=20000/[Log][0dp],,,UNDECLARED,,
Aux[1-12]EqGain[1-4],AuxEq,60,0=-15/120=15/[Lin][2dp],,,UNDECLARED,,
Aux[1-12]EqHpf[1-1],AuxEq,32,0=20/64=1000/[Log][0dp],,,UNDECLARED,,
Aux[1-12]EqOn[1-1],AuxEq,,,,,UNDECLARED,,
Aux[1-12]EqQ[1-4],AuxEq,60,0=0.1/120=10/[Log][2dp],,,UNDECLARED,,
Aux[1-12]EqShelf[1-2],AuxEq,,,,,UNDECLARED,,
Aux[1-12]Geq[1-28],AuxEq,32,0=-12/127=12/[Lin],,,UNDECLARED,,
Aux[1-12]LimiterAtt[1-1],AuxLimiter,,0=0.1/127=100/[Log],,,UNDECLARED,,
Aux[1-12]LimiterOn[1-1],AuxLimiterOn,,,,,UNDECLARED,,
Aux[1-12]LimiterRel[1-1],AuxLimiter,,0=5/127=2000/[Log],,,UNDECLARED,,
Aux[1-12]LimiterThr[1-1],AuxLimiter,,0=-30/127=0/[Lin],,,UNDECLARED,,
Aux[1-12]Pan[1-1],AuxPan,,Pan:dB:0:Off,,,UNDECLARED,,
Aux[1-12]PickOff[1-1],AuxPickOff,,,,,UNDECLARED,,
Aux[1-12]Dca[1-1],AuxDca,,,,,UNDECLARED,,
Aux[1-12]Level[1-1],AuxLevel,,dB:Off:-50@31:-30@63:-10@127:10,,,UNDECLARED,,
Aux[1-12]Mute[1-1],AuxMute,,,,,UNDECLARED,,
Bt[1-1]On[1-1],BtOn,,,,,UNDECLARED,,
Bt[1-1]Level[1-1],BtLevel,,0=-20/127=6/[Lin],,,UNDECLARED,,
Bt[1-1]Src[1-1],BtSrc,,,,,UNDECLARED,,
Card[1-1]Type[1-1],CardType,,,,,UNDECLARED,,
Chan[1-2]Instr[1-1],ChanInstr,,,,,UNDECLARED,,
Chan[1-32]AntiClip[1-1],ChanInput,,0=-20/127=0/[Lin],,,UNDECLARED,,
Chan[1-32]Color[1-1],ChanInput,,,,,UNDECLARED,,
Chan[1-32]CompAtt[1-1],ChanComp,,0=0/254=250/[Log],,,UNDECLARED,,
Chan[1-32]CompKnee[1-1],ChanComp,,,,,UNDECLARED,,
Chan[1-32]CompMake[1-1],ChanComp,,0=0/127=20/[Lin],,,UNDECLARED,,
Chan[1-32]CompOn[1-1],ChanComp,,,,,UNDECLARED,,
Chan[1-32]CompPar[1-1],ChanComp,,0=0/127=100/[Lin],,,UNDECLARED,,
Chan[1-32]CompRat[1-1],ChanComp,,0=1/127=30/[Log],,,UNDECLARED,,
Chan[1-32]CompRel[1-1],ChanComp,,0=5/254=5000/[Log],,,UNDECLARED,,
Chan[1-32]CompKey[1-1],ChanComp,,,,,UNDECLARED,,
Chan[1-32]CompDetSrc[1-1],ChanComp,,,,,UNDECLARED,,
Chan[1-32]CompFilterOn[1-1],ChanComp,,,,,UNDECLARED,,
Chan[1-32]CompFilterHpf[1-1],ChanComp,32,0=20/64=1000/[Log],,,UNDECLARED,,
Chan[1-32]CompFilterLpf[1-1],ChanComp,127,0=500/127=20000/[Log],,,UNDECLARED,,
Chan[1-32]CompFilterQ[1-1],ChanComp,7,0=0.1/14=10/[Log],,,UNDECLARED,,
Chan[1-32]CompLimMode[1-1],ChanComp,,,,,UNDECLARED,,
Chan[1-32]CompEqPos[1-1],ChanComp,,,,,UNDECLARED,,
Chan[1-32]CompThr[1-1],ChanComp,,0=-60/140=10/[Lin],,,UNDECLARED,,
Chan[1-32]CompType[1-1],ChanComp,,,,,UNDECLARED,,
Chan[1-32]CueSel[1-1],Chan_Rtg,,,,,UNDECLARED,,
Chan[1-32]Delay[1-1],ChanDelay,,0=0/127=250/[Log],,,ms,delay samples — conversion to declare,
Chan[1-32]EqFreq[1-1],Chan_Eq,127,0=20/254=200/[Log][0dp],,,UNDECLARED,,
Chan[1-32]EqFreq[2-2],Chan_Eq,127,0=100/254=1000/[Log][0dp],,,UNDECLARED,,
Chan[1-32]EqFreq[3-3],Chan_Eq,127,0=800/254=5000/[Log][0dp],,,UNDECLARED,,
Chan[1-32]EqFreq[4-4],Chan_Eq,127,0=3000/254=20000/[Log][0dp],,,UNDECLARED,,
Chan[1-32]EqGain[1-4],Chan_Eq,60,0=-15/120=15/[Lin][2dp],,,UNDECLARED,,
Chan[1-32]EqHpf[1-1],Chan_Eq,32,0=20/64=1000/[Log][0dp],,,UNDECLARED,,
Chan[1-32]EqHpfSlope[1-1],Chan_Eq,,,,,UNDECLARED,,
Chan[1-32]EqLpf[1-1],Chan_Eq,127,0=1000/127=20000/[Log][0dp],,,UNDECLARED,,
Chan[1-32]EqOn[1-1],Chan_Eq,,,,,UNDECLARED,,
Chan[1-32]EqQ[1-4],Chan_Eq,60,0=0.1/120=10/[Log][2dp],,,UNDECLARED,,
Chan[1-32]EqShelf[1-2],Chan_Eq,,,,,UNDECLARED,,
Chan[1-32]Gain[1-1],ChanGain,,0=0/60=60/[Lin][0dp],,,UNDECLARED,,
Chan[1-32]GateAtt[1-1],ChanGate,,0=0.1/254=250/[Log],,,UNDECLARED,,
Chan[1-32]GateHold[1-1],ChanGate,,0=0/254=2000/[Log],,,UNDECLARED,,
Chan[1-32]GateKey[1-1],ChanGate,,,,,UNDECLARED,,
Chan[1-32]GateDetSrc[1-1],ChanGate,,,,,UNDECLARED,,
Chan[1-32]GateFilterOn[1-1],ChanGate,,,,,UNDECLARED,,
Chan[1-32]GateFilterHpf[1-1],ChanGate,32,0=20/64=1000/[Log],,,UNDECLARED,,
Chan[1-32]GateFilterLpf[1-1],ChanGate,127,0=500/127=20000/[Log],,,UNDECLARED,,
Chan[1-32]GateFilterQ[1-1],ChanGate,7,0=0.1/14=10/[Log],,,UNDECLARED,,
Chan[1-32]GateOn[1-1],ChanGate,,,,,UNDECLARED,,
Chan[1-32]GateRel[1-1],ChanGate,,0=50/254=5000/[Log],,,UNDECLARED,,
Chan[1-32]GateRng[1-1],ChanGate,,0=0/254=60/[Lin],,,UNDECLARED,,
Chan[1-32]GateThr[1-1],ChanGate,,0=-80/254=0/[Lin],,,UNDECLARED,,
Chan[1-32]InputSel[1-1],ChanInputSel,,,,,UNDECLARED,,
Chan[1-32]InsertOn[1-1],ChanInput,,,,,UNDECLARED,,
Chan[1-32]LcrOn[1-1],ChanInput,,,,,UNDECLARED,,
Chan[1-32]Link[1-1],ChanInput,,,,,UNDECLARED,,
Chan[1-32]MuteGrp[1-8],Chan_Rtg,,,,,UNDECLARED,,
Chan[1-32]PadOn[1-1],ChanInput,,,,,UNDECLARED,,
Chan[1-32]Phantom[1-1],ChanInput,,,,,UNDECLARED,,
Chan[1-32]Pol[1-1],ChanPol,,,,,bool 0/1,coefficient sign fold,folded at control rate — 0 instr per sample
Chan[1-32]AuxOn[1-12],Chan_Rtg,,,,,UNDECLARED,,
Chan[1-32]AuxPick[1-12],Chan_Rtg,,,,,UNDECLARED,,
Chan[1-32]AuxSend[1-12],Chan_Rtg,,dB:Off:-50@31:-30@63:-10@127:0,,,UNDECLARED,,
Chan[1-32]CtrOn[1-1],Chan_Rtg,,,,,UNDECLARED,,
Chan[1-32]Dca[1-1],Chan_Rtg,,,,,UNDECLARED,,
Chan[1-32]FxOn[1-6],Chan_Rtg,,,,,UNDECLARED,,
Chan[1-32]FxPick[1-6],Chan_Rtg,,,,,UNDECLARED,,
Chan[1-32]FxSend[1-6],Chan_Rtg,,dB:Off:-50@31:-30@63:-10@127:0,,,UNDECLARED,,
Chan[1-32]GrpOn[1-4],Chan_Rtg,,,,,UNDECLARED,,
Chan[1-32]Level[1-1],Chan_Rtg,,dB:Off:-50@31:-30@63:-10@127:10,,,UNDECLARED,,
Chan[1-32]MainOn[1-1],Chan_Rtg,,,,,UNDECLARED,,
Chan[1-32]MatrixOn[1-2],Chan_Rtg,,,,,UNDECLARED,,
Chan[1-32]MatrixSend[1-2],Chan_Rtg,,dB:Off:-50@31:-30@63:-10@127:0,,,UNDECLARED,,
Chan[1-32]Mute[1-1],Chan_Rtg,,,,,UNDECLARED,,
Chan[1-32]Pan[1-1],Chan_Rtg,,Pan:dB:0:Off,,,UNDECLARED,,
Chan[1-32]TubeSat[1-1],ChanComp,,0=0/127=100/[Lin],,,UNDECLARED,,
Chan[1-32]TubeOn[1-1],ChanComp,,,,,UNDECLARED,,
CodecAux[1-1]On[1-1],CodecAuxOn,,,,,UNDECLARED,,
CodecAux[1-1]Level[1-1],CodecAuxLevel,,0=-20/127=6/[Lin],,,UNDECLARED,,
Dca[1-8]Level[1-1],DcaCtrl,,dB:Off:-50@31:-30@63:-10@127:10,,,UNDECLARED,,
Dca[1-8]Mute[1-1],DcaCtrl,,,,,UNDECLARED,,
Fdr[1-5]Grp[1-32],FdrGrp,,,,,UNDECLARED,,
Fx[1-6]Damp[1-1],FxCtrl,,,,,UNDECLARED,,
Fx[1-6]Decay[1-1],FxCtrl,,0=0.1/127=10/[Log],,,UNDECLARED,,
Fx[1-6]DelayTime[1-1],FxCtrl,,0=1/127=1000/[Log],,,UNDECLARED,,
Fx[1-6]DuckOn[1-1],FxCtrl,,,,,UNDECLARED,,
Fx[1-6]DuckThr[1-1],FxCtrl,,0=-30/127=0/[Lin],,,UNDECLARED,,
Fx[1-6]DuckSens[1-1],FxCtrl,,0=-30/127=0/[Lin],,,UNDECLARED,,
Fx[1-6]Balance[1-1],FxCtrl,,0=0/127=100/[Lin],,,UNDECLARED,,
Fx[1-6]EqPresence[1-1],FxCtrl,32,0=-6/127=6/[Lin],,,UNDECLARED,,
Fx[1-6]EqLo[1-1],FxCtrl,32,0=-6/127=6/[Lin],,,UNDECLARED,,
Fx[1-6]EqMid[1-1],FxCtrl,32,0=-6/127=6/[Lin],,,UNDECLARED,,
Fx[1-6]EqHpf[1-1],FxCtrl,127,0=80/127=300/[Log],,,UNDECLARED,,
Fx[1-6]Feedback[1-1],FxCtrl,,0=0/127=100/[Lin],,,UNDECLARED,,
Fx[1-6]ModRate[1-1],FxCtrl,127,0=0.1/127=10/[Log],,,UNDECLARED,,
Fx[1-6]ModLevel[1-1],FxCtrl,,0=0/127=100/[Lin],,,UNDECLARED,,
Fx[1-6]LfoShape[1-1],FxCtrl,,,,,UNDECLARED,,
Fx[1-6]StereoWidth[1-1],FxCtrl,,0=0/127=100/[Lin],,,UNDECLARED,,
Fx[1-6]PingPongStart[1-1],FxCtrl,,,,,UNDECLARED,,
Fx[1-6]Mix[1-1],FxCtrl,,0=0/127=100/[Lin],,,UNDECLARED,,
Fx[1-6]ReturnWetLock[1-1],FxCtrl,,,,,UNDECLARED,,
Fx[1-6]On[1-1],FxCtrl,,,,,UNDECLARED,,
Fx[1-6]PedAssign[1-4],FxCtrl,,,,,UNDECLARED,,
Fx[1-6]MuteGrp[1-8],FxCtrl,,,,,UNDECLARED,,
Fx[1-6]PreDelay[1-1],FxCtrl,,0=0/127=100/[Lin],,,UNDECLARED,,
Fx[1-6]AuxOn[1-12],FxCtrl,,,,,UNDECLARED,,
Fx[1-6]AuxSend[1-12],FxCtrl,,dB:Off:-50@31:-30@63:-10@127:0,,,UNDECLARED,,
Fx[1-6]Dca[1-1],FxCtrl,,,,,UNDECLARED,,
Fx[1-6]Level[1-1],FxCtrl,,,,,UNDECLARED,,
Fx[1-6]Mute[1-1],FxCtrl,,,,,UNDECLARED,,
Fx[1-6]Tap[1-1],FxCtrl,,,,,UNDECLARED,,
Fx[1-1]MuteAll[1-1],FxCtrl,,,,,UNDECLARED,,
Fx[1-6]Type[1-1],FxCtrl,,,,,UNDECLARED,,
Main[1-1]CueSel[1-1],MainCueSel,,,,,UNDECLARED,,
Main[1-1]Delay[1-1],MainDelay,,0=0/127=250/[Log],,,UNDECLARED,,
Main[1-1]Mute[1-1],MainMute,,,,,UNDECLARED,,
Main[1-1]Dca[1-1],MainDca,,,,,UNDECLARED,,
Main[1-1]Level[1-1],MainLevel,,,,,UNDECLARED,,
Main[1-1]Geq[1-28],MainEq,32,0=-12/127=12/[Lin],,,UNDECLARED,,
Matrix[1-4]Level[1-1],MatrixLevel,,dB:Off:-50@31:-30@63:-10@127:10,,,UNDECLARED,,
Matrix[1-4]Mute[1-1],MatrixMute,,,,,UNDECLARED,,
Mon[1-1]Delay[1-1],MonDelay,,0=0/127=250/[Log],,,UNDECLARED,,
Mon[1-1]InputSel[1-1],MonInputSel,,,,,UNDECLARED,,
Mon[1-1]Level[1-2],MonLevel,,dB:Off:-50@31:-30@63:-10@127:10,,,UNDECLARED,,
Mute[1-8]On[1-1],MuteOn,,,,,UNDECLARED,,
Noise[1-1]Hpf[1-1],NoiseHpf,,,,,UNDECLARED,,
Noise[1-1]Level[1-1],NoiseLevel,,0=-40/127=0/[Lin],,,UNDECLARED,,
Noise[1-1]On[1-1],NoiseOn,,,,,UNDECLARED,,
Noise[1-1]Dest[1-10],NoiseDest,,,,,UNDECLARED,,
Phones[1-4]Level[1-1],PhonesLevel,,dB:Off:-50@31:-30@63:-10@127:10,,,UNDECLARED,,
Phones[1-4]Src[1-1],PhonesSrc,,,,,UNDECLARED,,
Pi[1-1]On[1-1],PiOn,,,,,UNDECLARED,,
Pi[1-1]Level[1-1],PiLevel,,0=-20/127=6/[Lin],,,UNDECLARED,,
Rec[1-1]Level[1-1],RecLevel,,0=-20/127=6/[Lin],,,UNDECLARED,,
Rec[1-1]Play[1-1],RecPlay,,,,,UNDECLARED,,
Rec[1-1]Rec[1-1],RecRec,,,,,UNDECLARED,,
Rec[1-1]Src[1-1],RecSrc,,,,,UNDECLARED,,
Rta[1-1]On[1-1],RtaOn,,,,,UNDECLARED,,
Rta[1-1]Src[1-1],RtaSrc,,,,,UNDECLARED,,
Snk[1-8]On[1-1],SnkOn,,,,,UNDECLARED,,
Snk[1-8]Level[1-1],SnkLevel,,0=-20/127=6/[Lin],,,UNDECLARED,,
Grp[1-4]CompAtt[1-1],GrpComp,,0=0/254=250/[Log],,,UNDECLARED,,
Grp[1-4]CompKnee[1-1],GrpComp,,,,,UNDECLARED,,
Grp[1-4]CompMake[1-1],GrpComp,,0=0/127=20/[Lin],,,UNDECLARED,,
Grp[1-4]CompOn[1-1],GrpComp,,,,,UNDECLARED,,
Grp[1-4]CompPar[1-1],GrpComp,,0=0/127=100/[Lin],,,UNDECLARED,,
Grp[1-4]CompRat[1-1],GrpComp,,0=1/127=30/[Log],,,UNDECLARED,,
Grp[1-4]CompRel[1-1],GrpComp,,0=5/254=5000/[Log],,,UNDECLARED,,
Grp[1-4]CompDetSrc[1-1],GrpComp,,,,,UNDECLARED,,
Grp[1-4]CompEqPos[1-1],GrpComp,,,,,UNDECLARED,,
Grp[1-4]CompFilterHpf[1-1],GrpComp,32,0=20/64=1000/[Log],,,UNDECLARED,,
Grp[1-4]CompFilterLpf[1-1],GrpComp,127,0=500/127=20000/[Log],,,UNDECLARED,,
Grp[1-4]CompFilterOn[1-1],GrpComp,,,,,UNDECLARED,,
Grp[1-4]CompFilterQ[1-1],GrpComp,7,0=0.1/14=10/[Log],,,UNDECLARED,,
Grp[1-4]CompKey[1-1],GrpComp,,,,,UNDECLARED,,
Grp[1-4]CompLimMode[1-1],GrpComp,,,,,UNDECLARED,,
Grp[1-4]CompThr[1-1],GrpComp,,0=-60/140=10/[Lin],,,UNDECLARED,,
Grp[1-4]CompType[1-1],GrpComp,,,,,UNDECLARED,,
Grp[1-4]EqFreq[1-1],GrpEq,127,0=20/254=200/[Log],,,UNDECLARED,,
Grp[1-4]EqFreq[2-2],GrpEq,127,0=100/254=1000/[Log],,,UNDECLARED,,
Grp[1-4]EqFreq[3-3],GrpEq,127,0=800/254=5000/[Log],,,UNDECLARED,,
Grp[1-4]EqFreq[4-4],GrpEq,127,0=3000/254=20000/[Log],,,UNDECLARED,,
Grp[1-4]EqGain[1-4],GrpEq,60,0=-15/120=15/[Lin],,,UNDECLARED,,
Grp[1-4]EqHpf[1-1],GrpEq,32,0=20/64=1000/[Log],,,UNDECLARED,,
Grp[1-4]EqOn[1-1],GrpEq,,,,,UNDECLARED,,
Grp[1-4]EqQ[1-4],GrpEq,60,0=0.1/120=10/[Log],,,UNDECLARED,,
Grp[1-4]EqShelf[1-2],GrpEq,,,,,UNDECLARED,,
Grp[1-4]GateAtt[1-1],GrpGate,,0=0.1/254=250/[Log],,,UNDECLARED,,
Grp[1-4]GateDetSrc[1-1],GrpGate,,,,,UNDECLARED,,
Grp[1-4]GateFilterHpf[1-1],GrpGate,32,0=20/64=1000/[Log],,,UNDECLARED,,
Grp[1-4]GateFilterLpf[1-1],GrpGate,127,0=500/127=20000/[Log],,,UNDECLARED,,
Grp[1-4]GateFilterOn[1-1],GrpGate,,,,,UNDECLARED,,
Grp[1-4]GateFilterQ[1-1],GrpGate,7,0=0.1/14=10/[Log],,,UNDECLARED,,
Grp[1-4]GateHold[1-1],GrpGate,,0=0/254=2000/[Log],,,UNDECLARED,,
Grp[1-4]GateKey[1-1],GrpGate,,,,,UNDECLARED,,
Grp[1-4]GateOn[1-1],GrpGate,,,,,UNDECLARED,,
Grp[1-4]GateRel[1-1],GrpGate,,0=50/254=5000/[Log],,,UNDECLARED,,
Grp[1-4]GateRng[1-1],GrpGate,,0=0/254=60/[Lin],,,UNDECLARED,,
Grp[1-4]GateThr[1-1],GrpGate,,0=-80/254=0/[Lin],,,UNDECLARED,,
Grp[1-4]Geq[1-28],GrpEq,32,0=-12/127=12/[Lin],,,UNDECLARED,,
Grp[1-4]Dca[1-1],GrpDca,,,,,UNDECLARED,,
Grp[1-4]Level[1-1],GrpLevel,,dB:Off:-50@31:-30@63:-10@127:10,,,UNDECLARED,,
Grp[1-4]Mute[1-1],GrpMute,,,,,UNDECLARED,,
MainSub[1-1]CompAtt[1-1],SubComp,,0=0/254=250/[Log],,,UNDECLARED,,
MainSub[1-1]CompKnee[1-1],SubComp,,,,,UNDECLARED,,
MainSub[1-1]CompMake[1-1],SubComp,,,,,UNDECLARED,,
MainSub[1-1]CompOn[1-1],SubComp,,,,,UNDECLARED,,
