_Cell,Family,Bucket,Reason,Class,DspAddrHex,InertSymbol,Notes
Chan003CompDetSrc001,ChanCompDetSrc,dsp-missing,"addressed (chip 1, 0x0162) and NOT SERVED: shared-kernel field comp_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_det_src_C1_COMP_03",,0x0162,_comp_det_src_C1_COMP_03,Compressor self-key tap source (PreEQ/PostEQ)
Chan004CompDetSrc001,ChanCompDetSrc,dsp-missing,"addressed (chip 1, 0x01F2) and NOT SERVED: shared-kernel field comp_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_det_src_C1_COMP_04",,0x01F2,_comp_det_src_C1_COMP_04,Compressor self-key tap source (PreEQ/PostEQ)
Chan005CompDetSrc001,ChanCompDetSrc,dsp-missing,"addressed (chip 1, 0x0282) and NOT SERVED: shared-kernel field comp_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_det_src_C1_COMP_05",,0x0282,_comp_det_src_C1_COMP_05,Compressor self-key tap source (PreEQ/PostEQ)
Chan006CompDetSrc001,ChanCompDetSrc,dsp-missing,"addressed (chip 1, 0x0312) and NOT SERVED: shared-kernel field comp_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_det_src_C1_COMP_06",,0x0312,_comp_det_src_C1_COMP_06,Compressor self-key tap source (PreEQ/PostEQ)
Chan007CompDetSrc001,ChanCompDetSrc,dsp-missing,"addressed (chip 1, 0x03A2) and NOT SERVED: shared-kernel field comp_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_det_src_C1_COMP_07",,0x03A2,_comp_det_src_C1_COMP_07,Compressor self-key tap source (PreEQ/PostEQ)
Chan008CompDetSrc001,ChanCompDetSrc,dsp-missing,"addressed (chip 1, 0x0432) and NOT SERVED: shared-kernel field comp_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_det_src_C1_COMP_08",,0x0432,_comp_det_src_C1_COMP_08,Compressor self-key tap source (PreEQ/PostEQ)
Chan009CompDetSrc001,ChanCompDetSrc,dsp-missing,"addressed (chip 1, 0x04C2) and NOT SERVED: shared-kernel field comp_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_det_src_C1_COMP_09",,0x04C2,_comp_det_src_C1_COMP_09,Compressor self-key tap source (PreEQ/PostEQ)
Chan010CompDetSrc001,ChanCompDetSrc,dsp-missing,"addressed (chip 1, 0x0552) and NOT SERVED: shared-kernel field comp_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_det_src_C1_COMP_10",,0x0552,_comp_det_src_C1_COMP_10,Compressor self-key tap source (PreEQ/PostEQ)
Chan011CompDetSrc001,ChanCompDetSrc,dsp-missing,"addressed (chip 1, 0x05E2) and NOT SERVED: shared-kernel field comp_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_det_src_C1_COMP_11",,0x05E2,_comp_det_src_C1_COMP_11,Compressor self-key tap source (PreEQ/PostEQ)
Chan012CompDetSrc001,ChanCompDetSrc,dsp-missing,"addressed (chip 1, 0x0672) and NOT SERVED: shared-kernel field comp_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_det_src_C1_COMP_12",,0x0672,_comp_det_src_C1_COMP_12,Compressor self-key tap source (PreEQ/PostEQ)
Chan013CompDetSrc001,ChanCompDetSrc,dsp-missing,"addressed (chip 1, 0x0702) and NOT SERVED: shared-kernel field comp_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_det_src_C1_COMP_13",,0x0702,_comp_det_src_C1_COMP_13,Compressor self-key tap source (PreEQ/PostEQ)
Chan014CompDetSrc001,ChanCompDetSrc,dsp-missing,"addressed (chip 1, 0x0792) and NOT SERVED: shared-kernel field comp_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_det_src_C1_COMP_14",,0x0792,_comp_det_src_C1_COMP_14,Compressor self-key tap source (PreEQ/PostEQ)
Chan015CompDetSrc001,ChanCompDetSrc,dsp-missing,"addressed (chip 1, 0x0822) and NOT SERVED: shared-kernel field comp_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_det_src_C1_COMP_15",,0x0822,_comp_det_src_C1_COMP_15,Compressor self-key tap source (PreEQ/PostEQ)
Chan016CompDetSrc001,ChanCompDetSrc,dsp-missing,"addressed (chip 1, 0x08B2) and NOT SERVED: shared-kernel field comp_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_det_src_C1_COMP_16",,0x08B2,_comp_det_src_C1_COMP_16,Compressor self-key tap source (PreEQ/PostEQ)
Chan017CompDetSrc001,ChanCompDetSrc,dsp-missing,"addressed (chip 1, 0x0942) and NOT SERVED: shared-kernel field comp_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_det_src_C1_COMP_17",,0x0942,_comp_det_src_C1_COMP_17,Compressor self-key tap source (PreEQ/PostEQ)
Chan018CompDetSrc001,ChanCompDetSrc,dsp-missing,"addressed (chip 1, 0x09D2) and NOT SERVED: shared-kernel field comp_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_det_src_C1_COMP_18",,0x09D2,_comp_det_src_C1_COMP_18,Compressor self-key tap source (PreEQ/PostEQ)
Chan019CompDetSrc001,ChanCompDetSrc,dsp-missing,"addressed (chip 1, 0x0A62) and NOT SERVED: shared-kernel field comp_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_det_src_C1_COMP_19",,0x0A62,_comp_det_src_C1_COMP_19,Compressor self-key tap source (PreEQ/PostEQ)
Chan020CompDetSrc001,ChanCompDetSrc,dsp-missing,"addressed (chip 1, 0x0AF2) and NOT SERVED: shared-kernel field comp_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_det_src_C1_COMP_20",,0x0AF2,_comp_det_src_C1_COMP_20,Compressor self-key tap source (PreEQ/PostEQ)
Chan021CompDetSrc001,ChanCompDetSrc,dsp-missing,"addressed (chip 1, 0x0B82) and NOT SERVED: shared-kernel field comp_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_det_src_C1_COMP_21",,0x0B82,_comp_det_src_C1_COMP_21,Compressor self-key tap source (PreEQ/PostEQ)
Chan022CompDetSrc001,ChanCompDetSrc,dsp-missing,"addressed (chip 1, 0x0C12) and NOT SERVED: shared-kernel field comp_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_det_src_C1_COMP_22",,0x0C12,_comp_det_src_C1_COMP_22,Compressor self-key tap source (PreEQ/PostEQ)
Chan023CompDetSrc001,ChanCompDetSrc,dsp-missing,"addressed (chip 1, 0x0CA2) and NOT SERVED: shared-kernel field comp_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_det_src_C1_COMP_23",,0x0CA2,_comp_det_src_C1_COMP_23,Compressor self-key tap source (PreEQ/PostEQ)
Chan024CompDetSrc001,ChanCompDetSrc,dsp-missing,"addressed (chip 1, 0x0D32) and NOT SERVED: shared-kernel field comp_det_src, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_det_src_C1_COMP_24",,0x0D32,_comp_det_src_C1_COMP_24,Compressor self-key tap source (PreEQ/PostEQ)
Chan001CompEqPos001,ChanCompEqPos,dsp-missing,"addressed (chip 1, 0x0044) and NOT SERVED: shared-kernel field comp_eq_pos, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_eq_pos_C1_COMP_01",,0x0044,_comp_eq_pos_C1_COMP_01,Compressor EQ position (Pre/Post)
Chan002CompEqPos001,ChanCompEqPos,dsp-missing,"addressed (chip 1, 0x00D4) and NOT SERVED: shared-kernel field comp_eq_pos, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_eq_pos_C1_COMP_02",,0x00D4,_comp_eq_pos_C1_COMP_02,Compressor EQ position (Pre/Post)
Chan003CompEqPos001,ChanCompEqPos,dsp-missing,"addressed (chip 1, 0x0164) and NOT SERVED: shared-kernel field comp_eq_pos, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_eq_pos_C1_COMP_03",,0x0164,_comp_eq_pos_C1_COMP_03,Compressor EQ position (Pre/Post)
Chan004CompEqPos001,ChanCompEqPos,dsp-missing,"addressed (chip 1, 0x01F4) and NOT SERVED: shared-kernel field comp_eq_pos, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_eq_pos_C1_COMP_04",,0x01F4,_comp_eq_pos_C1_COMP_04,Compressor EQ position (Pre/Post)
Chan005CompEqPos001,ChanCompEqPos,dsp-missing,"addressed (chip 1, 0x0284) and NOT SERVED: shared-kernel field comp_eq_pos, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_eq_pos_C1_COMP_05",,0x0284,_comp_eq_pos_C1_COMP_05,Compressor EQ position (Pre/Post)
Chan006CompEqPos001,ChanCompEqPos,dsp-missing,"addressed (chip 1, 0x0314) and NOT SERVED: shared-kernel field comp_eq_pos, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_eq_pos_C1_COMP_06",,0x0314,_comp_eq_pos_C1_COMP_06,Compressor EQ position (Pre/Post)
Chan007CompEqPos001,ChanCompEqPos,dsp-missing,"addressed (chip 1, 0x03A4) and NOT SERVED: shared-kernel field comp_eq_pos, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_eq_pos_C1_COMP_07",,0x03A4,_comp_eq_pos_C1_COMP_07,Compressor EQ position (Pre/Post)
Chan008CompEqPos001,ChanCompEqPos,dsp-missing,"addressed (chip 1, 0x0434) and NOT SERVED: shared-kernel field comp_eq_pos, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_eq_pos_C1_COMP_08",,0x0434,_comp_eq_pos_C1_COMP_08,Compressor EQ position (Pre/Post)
Chan009CompEqPos001,ChanCompEqPos,dsp-missing,"addressed (chip 1, 0x04C4) and NOT SERVED: shared-kernel field comp_eq_pos, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_eq_pos_C1_COMP_09",,0x04C4,_comp_eq_pos_C1_COMP_09,Compressor EQ position (Pre/Post)
Chan010CompEqPos001,ChanCompEqPos,dsp-missing,"addressed (chip 1, 0x0554) and NOT SERVED: shared-kernel field comp_eq_pos, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_eq_pos_C1_COMP_10",,0x0554,_comp_eq_pos_C1_COMP_10,Compressor EQ position (Pre/Post)
Chan011CompEqPos001,ChanCompEqPos,dsp-missing,"addressed (chip 1, 0x05E4) and NOT SERVED: shared-kernel field comp_eq_pos, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_eq_pos_C1_COMP_11",,0x05E4,_comp_eq_pos_C1_COMP_11,Compressor EQ position (Pre/Post)
Chan012CompEqPos001,ChanCompEqPos,dsp-missing,"addressed (chip 1, 0x0674) and NOT SERVED: shared-kernel field comp_eq_pos, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_eq_pos_C1_COMP_12",,0x0674,_comp_eq_pos_C1_COMP_12,Compressor EQ position (Pre/Post)
Chan013CompEqPos001,ChanCompEqPos,dsp-missing,"addressed (chip 1, 0x0704) and NOT SERVED: shared-kernel field comp_eq_pos, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_eq_pos_C1_COMP_13",,0x0704,_comp_eq_pos_C1_COMP_13,Compressor EQ position (Pre/Post)
Chan014CompEqPos001,ChanCompEqPos,dsp-missing,"addressed (chip 1, 0x0794) and NOT SERVED: shared-kernel field comp_eq_pos, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_eq_pos_C1_COMP_14",,0x0794,_comp_eq_pos_C1_COMP_14,Compressor EQ position (Pre/Post)
Chan015CompEqPos001,ChanCompEqPos,dsp-missing,"addressed (chip 1, 0x0824) and NOT SERVED: shared-kernel field comp_eq_pos, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_eq_pos_C1_COMP_15",,0x0824,_comp_eq_pos_C1_COMP_15,Compressor EQ position (Pre/Post)
Chan016CompEqPos001,ChanCompEqPos,dsp-missing,"addressed (chip 1, 0x08B4) and NOT SERVED: shared-kernel field comp_eq_pos, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_eq_pos_C1_COMP_16",,0x08B4,_comp_eq_pos_C1_COMP_16,Compressor EQ position (Pre/Post)
Chan017CompEqPos001,ChanCompEqPos,dsp-missing,"addressed (chip 1, 0x0944) and NOT SERVED: shared-kernel field comp_eq_pos, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_eq_pos_C1_COMP_17",,0x0944,_comp_eq_pos_C1_COMP_17,Compressor EQ position (Pre/Post)
Chan018CompEqPos001,ChanCompEqPos,dsp-missing,"addressed (chip 1, 0x09D4) and NOT SERVED: shared-kernel field comp_eq_pos, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_eq_pos_C1_COMP_18",,0x09D4,_comp_eq_pos_C1_COMP_18,Compressor EQ position (Pre/Post)
Chan019CompEqPos001,ChanCompEqPos,dsp-missing,"addressed (chip 1, 0x0A64) and NOT SERVED: shared-kernel field comp_eq_pos, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_eq_pos_C1_COMP_19",,0x0A64,_comp_eq_pos_C1_COMP_19,Compressor EQ position (Pre/Post)
Chan020CompEqPos001,ChanCompEqPos,dsp-missing,"addressed (chip 1, 0x0AF4) and NOT SERVED: shared-kernel field comp_eq_pos, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_eq_pos_C1_COMP_20",,0x0AF4,_comp_eq_pos_C1_COMP_20,Compressor EQ position (Pre/Post)
Chan021CompEqPos001,ChanCompEqPos,dsp-missing,"addressed (chip 1, 0x0B84) and NOT SERVED: shared-kernel field comp_eq_pos, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_eq_pos_C1_COMP_21",,0x0B84,_comp_eq_pos_C1_COMP_21,Compressor EQ position (Pre/Post)
Chan022CompEqPos001,ChanCompEqPos,dsp-missing,"addressed (chip 1, 0x0C14) and NOT SERVED: shared-kernel field comp_eq_pos, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_eq_pos_C1_COMP_22",,0x0C14,_comp_eq_pos_C1_COMP_22,Compressor EQ position (Pre/Post)
Chan023CompEqPos001,ChanCompEqPos,dsp-missing,"addressed (chip 1, 0x0CA4) and NOT SERVED: shared-kernel field comp_eq_pos, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_eq_pos_C1_COMP_23",,0x0CA4,_comp_eq_pos_C1_COMP_23,Compressor EQ position (Pre/Post)
Chan024CompEqPos001,ChanCompEqPos,dsp-missing,"addressed (chip 1, 0x0D34) and NOT SERVED: shared-kernel field comp_eq_pos, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_eq_pos_C1_COMP_24",,0x0D34,_comp_eq_pos_C1_COMP_24,Compressor EQ position (Pre/Post)
Chan001CompFilterHpf001,ChanCompFilterHpf,dsp-missing,"addressed (chip 1, 0x0046) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_01",,0x0046,_comp_filter_coeffs_C1_COMP_01,Compressor sidechain HPF frequency
Chan002CompFilterHpf001,ChanCompFilterHpf,dsp-missing,"addressed (chip 1, 0x00D6) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_02",,0x00D6,_comp_filter_coeffs_C1_COMP_02,Compressor sidechain HPF frequency
Chan003CompFilterHpf001,ChanCompFilterHpf,dsp-missing,"addressed (chip 1, 0x0166) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_03",,0x0166,_comp_filter_coeffs_C1_COMP_03,Compressor sidechain HPF frequency
Chan004CompFilterHpf001,ChanCompFilterHpf,dsp-missing,"addressed (chip 1, 0x01F6) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_04",,0x01F6,_comp_filter_coeffs_C1_COMP_04,Compressor sidechain HPF frequency
Chan005CompFilterHpf001,ChanCompFilterHpf,dsp-missing,"addressed (chip 1, 0x0286) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_05",,0x0286,_comp_filter_coeffs_C1_COMP_05,Compressor sidechain HPF frequency
Chan006CompFilterHpf001,ChanCompFilterHpf,dsp-missing,"addressed (chip 1, 0x0316) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_06",,0x0316,_comp_filter_coeffs_C1_COMP_06,Compressor sidechain HPF frequency
Chan007CompFilterHpf001,ChanCompFilterHpf,dsp-missing,"addressed (chip 1, 0x03A6) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_07",,0x03A6,_comp_filter_coeffs_C1_COMP_07,Compressor sidechain HPF frequency
Chan008CompFilterHpf001,ChanCompFilterHpf,dsp-missing,"addressed (chip 1, 0x0436) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_08",,0x0436,_comp_filter_coeffs_C1_COMP_08,Compressor sidechain HPF frequency
Chan009CompFilterHpf001,ChanCompFilterHpf,dsp-missing,"addressed (chip 1, 0x04C6) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_09",,0x04C6,_comp_filter_coeffs_C1_COMP_09,Compressor sidechain HPF frequency
Chan010CompFilterHpf001,ChanCompFilterHpf,dsp-missing,"addressed (chip 1, 0x0556) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_10",,0x0556,_comp_filter_coeffs_C1_COMP_10,Compressor sidechain HPF frequency
Chan011CompFilterHpf001,ChanCompFilterHpf,dsp-missing,"addressed (chip 1, 0x05E6) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_11",,0x05E6,_comp_filter_coeffs_C1_COMP_11,Compressor sidechain HPF frequency
Chan012CompFilterHpf001,ChanCompFilterHpf,dsp-missing,"addressed (chip 1, 0x0676) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_12",,0x0676,_comp_filter_coeffs_C1_COMP_12,Compressor sidechain HPF frequency
Chan013CompFilterHpf001,ChanCompFilterHpf,dsp-missing,"addressed (chip 1, 0x0706) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_13",,0x0706,_comp_filter_coeffs_C1_COMP_13,Compressor sidechain HPF frequency
Chan014CompFilterHpf001,ChanCompFilterHpf,dsp-missing,"addressed (chip 1, 0x0796) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_14",,0x0796,_comp_filter_coeffs_C1_COMP_14,Compressor sidechain HPF frequency
Chan015CompFilterHpf001,ChanCompFilterHpf,dsp-missing,"addressed (chip 1, 0x0826) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_15",,0x0826,_comp_filter_coeffs_C1_COMP_15,Compressor sidechain HPF frequency
Chan016CompFilterHpf001,ChanCompFilterHpf,dsp-missing,"addressed (chip 1, 0x08B6) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_16",,0x08B6,_comp_filter_coeffs_C1_COMP_16,Compressor sidechain HPF frequency
Chan017CompFilterHpf001,ChanCompFilterHpf,dsp-missing,"addressed (chip 1, 0x0946) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_17",,0x0946,_comp_filter_coeffs_C1_COMP_17,Compressor sidechain HPF frequency
Chan018CompFilterHpf001,ChanCompFilterHpf,dsp-missing,"addressed (chip 1, 0x09D6) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_18",,0x09D6,_comp_filter_coeffs_C1_COMP_18,Compressor sidechain HPF frequency
Chan019CompFilterHpf001,ChanCompFilterHpf,dsp-missing,"addressed (chip 1, 0x0A66) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_19",,0x0A66,_comp_filter_coeffs_C1_COMP_19,Compressor sidechain HPF frequency
Chan020CompFilterHpf001,ChanCompFilterHpf,dsp-missing,"addressed (chip 1, 0x0AF6) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_20",,0x0AF6,_comp_filter_coeffs_C1_COMP_20,Compressor sidechain HPF frequency
Chan021CompFilterHpf001,ChanCompFilterHpf,dsp-missing,"addressed (chip 1, 0x0B86) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_21",,0x0B86,_comp_filter_coeffs_C1_COMP_21,Compressor sidechain HPF frequency
Chan022CompFilterHpf001,ChanCompFilterHpf,dsp-missing,"addressed (chip 1, 0x0C16) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_22",,0x0C16,_comp_filter_coeffs_C1_COMP_22,Compressor sidechain HPF frequency
Chan023CompFilterHpf001,ChanCompFilterHpf,dsp-missing,"addressed (chip 1, 0x0CA6) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_23",,0x0CA6,_comp_filter_coeffs_C1_COMP_23,Compressor sidechain HPF frequency
Chan024CompFilterHpf001,ChanCompFilterHpf,dsp-missing,"addressed (chip 1, 0x0D36) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_24",,0x0D36,_comp_filter_coeffs_C1_COMP_24,Compressor sidechain HPF frequency
Chan001CompFilterLpf001,ChanCompFilterLpf,dsp-missing,"addressed (chip 1, 0x0046) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_01",,0x0046,_comp_filter_coeffs_C1_COMP_01,Compressor sidechain LPF frequency
Chan002CompFilterLpf001,ChanCompFilterLpf,dsp-missing,"addressed (chip 1, 0x00D6) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_02",,0x00D6,_comp_filter_coeffs_C1_COMP_02,Compressor sidechain LPF frequency
Chan003CompFilterLpf001,ChanCompFilterLpf,dsp-missing,"addressed (chip 1, 0x0166) and NOT SERVED: shared-kernel field comp_filter_coeffs, never named by an instruction — a host write lands in DM and no instruction of the running kernel looks at _comp_filter_coeffs_C1_COMP_03",,0x0166,_comp_filter_coeffs_C1_COMP_03,Compressor sidechain LPF frequency
