num,board,item,class,status,section,covers
58,Left Switch PCBA,Pedal UART through-path,panel control,UNTESTED – no fixture,2,58
59,Right Switch PCBA,FX MUTE (fw.csv FxMute) button,panel switch,UNTESTED – no fixture,3,59
60,Right Switch PCBA,FX MUTE (fw.csv FxMute) button LEDs (white pair),panel LED,UNTESTED – no fixture,4,60
61,Right Switch PCBA,FX MUTE (fw.csv FxMute) red LEDs,panel LED,UNTESTED – no fixture,4,61
62,Right Switch PCBA,HOME (fw.csv Home) button,panel switch,UNTESTED – no fixture,3,62
63,Right Switch PCBA,HOME (fw.csv Home) button LEDs (white pair),panel LED,UNTESTED – no fixture,4,63
64,Right Switch PCBA,MENU (fw.csv Menu) button,panel switch,UNTESTED – no fixture,3,64
65,Right Switch PCBA,MENU (fw.csv Menu) button LEDs (white pair),panel LED,UNTESTED – no fixture,4,65
66,Right Switch PCBA,+48 (fw.csv Phantom48) button,panel switch,UNTESTED – no fixture,3,66
67,Right Switch PCBA,+48 (fw.csv Phantom48) button LEDs (white pair),panel LED,UNTESTED – no fixture,4,67
68,Right Switch PCBA,FEEDBACK (fw.csv Feedback) button,panel switch,UNTESTED – no fixture,3,68
69,Right Switch PCBA,FEEDBACK (fw.csv Feedback) button LEDs (white pair),panel LED,UNTESTED – no fixture,4,69
70,Right Switch PCBA,MUTE (fw.csv 'Nute' — typo) button,panel switch,UNTESTED – no fixture,3,70
71,Right Switch PCBA,MUTE (fw.csv 'Nute' — typo) button LEDs (white pair),panel LED,UNTESTED – no fixture,4,71
72,Right Switch PCBA,SCENE (fw.csv Scene) button,panel switch,UNTESTED – no fixture,3,72
73,Right Switch PCBA,SCENE (fw.csv Scene) button LEDs (white pair),panel LED,UNTESTED – no fixture,4,73
74,Right Switch PCBA,L (fw.csv L) button,panel switch,UNTESTED – no fixture,3,74
75,Right Switch PCBA,L (fw.csv L) button LEDs (white pair),panel LED,UNTESTED – no fixture,4,75
76,Right Switch PCBA,C (fw.csv C) button,panel switch,UNTESTED – no fixture,3,76
77,Right Switch PCBA,C (fw.csv C) button LEDs (white pair),panel LED,UNTESTED – no fixture,4,77
78,Right Switch PCBA,C (fw.csv C) red LED,panel LED,UNTESTED – no fixture,4,78
79,Right Switch PCBA,CH ASSIGN (fw.csv ChanAssign) button,panel switch,UNTESTED – no fixture,3,79
80,Right Switch PCBA,CH ASSIGN (fw.csv ChanAssign) button LEDs (white pair),panel LED,UNTESTED – no fixture,4,80
81,Right Switch PCBA,R (fw.csv R) button,panel switch,UNTESTED – no fixture,3,81
82,Right Switch PCBA,R (fw.csv R) button LEDs (white pair),panel LED,UNTESTED – no fixture,4,82
83,Right Switch PCBA,MONITOR (fw.csv Monitor) button,panel switch,UNTESTED – no fixture,3,83
84,Right Switch PCBA,MONITOR (fw.csv Monitor) button LEDs (white pair),panel LED,UNTESTED – no fixture,4,84
85,Right Switch PCBA,REC/PLY (fw.csv RecPlay) button,panel switch,UNTESTED – no fixture,3,85
86,Right Switch PCBA,REC/PLY (fw.csv RecPlay) button LEDs (white pair),panel LED,UNTESTED – no fixture,4,86
87,Right Switch PCBA,REC/PLY (fw.csv RecPlay) red LEDs,panel LED,UNTESTED – no fixture,4,87
88,Right Switch PCBA,STUDIO CTL (fw.csv Studio) button,panel switch,UNTESTED – no fixture,3,88
89,Right Switch PCBA,STUDIO CTL (fw.csv Studio) button LEDs (white pair),panel LED,UNTESTED – no fixture,4,89
90,Right Switch PCBA,Encoder ring,panel encoder,UNTESTED – no fixture,3,90
91,Right Switch PCBA,"Encoder ring LEDs (8 white singles, fw.csv Enc1–Enc8)",panel LED,UNTESTED – no fixture,4,91
92,Right Switch PCBA,Talkback switch + LEDs (pass-through),panel control,UNTESTED – no fixture,3+4,92
93,Right Switch PCBA,Mini-jack insertion sense (pass-through),panel control,UNTESTED – no fixture,2+3,93
94,Right Switch PCBA,TEMP / BLOWER / FAN sense (pass-through),panel control,UNTESTED – no fixture,2+4,94
95,Analog,"Mini-jack 1 (3.5 mm, Mini Jack sub-assembly)",analog input (mini-jack),UNTESTED – no fixture,2+4,95
96,Analog,"Mini-jack 2 (3.5 mm, Mini Jack sub-assembly)",analog input (mini-jack),UNTESTED – no fixture,2+4,96
97,Analog,Phones 1 (headphone jack),analog output (phones),UNTESTED – no fixture,2+4,97
98,P1 pedal (rev B),Footswitch 1,pedal switch,UNTESTED – no fixture,3,98
99,P1 pedal (rev B),Footswitch 2,pedal switch,UNTESTED – no fixture,3,99
100,P1 pedal (rev B),7-segment display + LEDs,pedal LED,UNTESTED – no fixture,4,100
101,P1 pedal (rev B),Pedal link + 9 V,control,UNTESTED – no fixture,2+4,101
102,DSP PCBA (H1S1 MCU wiring),H1S1 MCU (STM32U575) link,mcu link,UNTESTED – no fixture,1,102
103,DSP PCBA (H1S1 MCU wiring),DSP chip-select CS1 (fw.csv Dsp1),dsp control,UNTESTED – no fixture,1,103
104,DSP PCBA (H1S1 MCU wiring),DSP chip-select CS2 (fw.csv Dsp2),dsp control,UNTESTED – no fixture,1,104
105,DSP PCBA (H1S1 MCU wiring),DSP chip-select CS3 (fw.csv Dsp3),dsp control,UNTESTED – no fixture,1,105
106,DSP PCBA (H1S1 MCU wiring),DSP chip-select CS4 (fw.csv Dsp4),dsp control,UNTESTED – no fixture,1,106
107,DSP PCBA (H1S1 MCU wiring),DSP chip-select CS6 (fw.csv Dsp6),dsp control,UNTESTED – no fixture,1,107
108,DSP PCBA (H1S1 MCU wiring),DSP chip-select CS7 (fw.csv Dsp7),dsp control,UNTESTED – no fixture,1,108
109,DSP PCBA (H1S1 MCU wiring),DSP chip-select CS8 (fw.csv Dsp8),dsp control,UNTESTED – no fixture,1,109
110,DSP PCBA (H1S1 MCU wiring),DSP reset RST_D (fw.csv Reset),dsp control,UNTESTED – no fixture,1,110
111,DSP PCBA (H1S1 MCU wiring),Mic-gain chain latch CS_M (fw.csv MicGain),analog control,UNTESTED – no fixture,1,111
112,DSP PCBA (H1S1 MCU wiring),Codec select CS_C (fw.csv Codec),analog control,UNTESTED – no fixture,1,112
113,DSP PCBA (H1S1 MCU wiring),PSU monitor ADC PAD0 (fw.csv Psu1),psu monitor,UNTESTED – no fixture,—,113
114,DSP PCBA (H1S1 MCU wiring),PSU monitor ADC PAD1 (fw.csv Psu2),psu monitor,UNTESTED – no fixture,—,114
115,DSP PCBA (H1S1 MCU wiring),PSU monitor ADC PAD2 (fw.csv Psu3),psu monitor,UNTESTED – no fixture,—,115
116,DSP PCBA (H1S1 MCU wiring),PSU monitor ADC PAD3 (fw.csv Psu4),psu monitor,UNTESTED – no fixture,—,116
117,DSP PCBA (H1S1 MCU wiring),PSU monitor ADC PAD4 (fw.csv Psu5),psu monitor,UNTESTED – no fixture,—,117
118,DSP PCBA (H1S1 MCU wiring),PSU monitor ADC PAD5 (fw.csv Psu6),psu monitor,UNTESTED – no fixture,—,118
119,DSP PCBA (H1S1 MCU wiring),PSU monitor ADC PAD6 (fw.csv Psu7),psu monitor,UNTESTED – no fixture,—,119
120,DSP PCBA (H1S1 MCU wiring),PSU monitor ADC PAD7 (fw.csv Psu8),psu monitor,UNTESTED – no fixture,—,120
121,DSP PCBA (H1S1 MCU wiring),PSU monitor ADC PAD8 (fw.csv Psu9),psu monitor,UNTESTED – no fixture,—,121
122,DSP PCBA (H1S1 MCU wiring),PSU monitor ADC PAD9 (fw.csv Psu10),psu monitor,UNTESTED – no fixture,—,122
123,DSP PCBA (H1S1 MCU wiring),PSU monitor ADC PAD10 (fw.csv Psu11),psu monitor,UNTESTED – no fixture,—,123
124,DSP PCBA (H1S1 MCU wiring),PSU monitor ADC PAD11 (fw.csv Psu12),psu monitor,UNTESTED – no fixture,—,124
125,DSP PCBA (H1S1 MCU wiring),Right panel MCU link (fw.csv SW_RIGHT),mcu link,UNTESTED – no fixture,1,125
126,DSP PCBA (H1S1 MCU wiring),Left panel MCU link (fw.csv SW_LEFT),mcu link,UNTESTED – no fixture,1,126
127,HDMI FPC (rev B),Display link HDMI0 → TFT,display,UNTESTED – no fixture,1,127
128,Digital,Ethernet (RJ45),network,UNTESTED – no fixture,1,128
129,Digital,P1 Foot Pedal (RJ45),control,UNTESTED – no fixture,2+4,129
130,Analog,"USB A (dual jack, hub port 3)",USB-A,UNTESTED – no fixture,2+4,130
131,Analog,"USB A (dual jack, hub port 4)",USB-A,UNTESTED – no fixture,2+4,131
132,Digital,HDMI 1 (placeholder),HDMI,UNTESTED – no fixture,4,132
133,Digital,IEC Power Inlet,power,UNTESTED – no fixture,4,133
134,Digital,Power Switch,power,UNTESTED – no fixture,3,134
135,Digital (slot 1 card),USB-C Multitrack/DAW,digital audio,UNTESTED – no fixture,2,135
136,Inter-board links,Link 'opt1',board-to-board link,UNTESTED – no fixture,4,136
137,Inter-board links,Link 'opt2',board-to-board link,UNTESTED – no fixture,4,137
138,Inter-board links,Link 'opt3',board-to-board link,UNTESTED – no fixture,4,138
139,Inter-board links,Link 'dig-dsp-a',board-to-board link,UNTESTED – no fixture,1,139
140,Inter-board links,Link 'dig-dsp-b',board-to-board link,UNTESTED – no fixture,1,140
141,Inter-board links,Link 'dig-analog-adc',board-to-board link,UNTESTED – no fixture,1,141
142,Inter-board links,Link 'dig-analog-dac',board-to-board link,UNTESTED – no fixture,1,142
143,Inter-board links,Link 'dig-panel-a',board-to-board link,UNTESTED – no fixture,1,143
144,Inter-board links,Link 'dig-panel-b',board-to-board link,UNTESTED – no fixture,1,144
145,Inter-board links,Link 'pedal',board-to-board link,UNTESTED – no fixture,2,145
146,Inter-board links,Link 'phones',board-to-board link,UNTESTED – no fixture,2+4,146
147,Inter-board links,Link 'minijack',board-to-board link,UNTESTED – no fixture,2+4,147
148,Inter-board links,Link 'hdmi-fpc',board-to-board link,UNTESTED – no fixture,1,148
149,Inter-board links,Link 'd32compat',board-to-board link,UNTESTED – no fixture,4,149
150,Inter-board links,Link 'analog-12v',board-to-board link,UNTESTED – no fixture,—,150
151,Inter-board links,Link 'hdmi-pwr',board-to-board link,UNTESTED – no fixture,1,151
152,Inter-board links,Link 'fan',board-to-board link,UNTESTED – no fixture,4,152
153,Analog,J11 (power link / header),power link / header,UNTESTED – no fixture,—,153
154,Analog,J12 (power link / header),power link / header,UNTESTED – no fixture,—,154
155,Analog,J13 (power link / header),power link / header,UNTESTED – no fixture,—,155
156,Analog,J14 (power link / header),power link / header,UNTESTED – no fixture,—,156
157,Analog,J23 (power link / header),power link / header,UNTESTED – no fixture,—,157
158,Analog,J24 (power link / header),power link / header,UNTESTED – no fixture,—,158
159,Analog,J33 (power link / header),power link / header,UNTESTED – no fixture,—,159
160,Analog,J34 (power link / header),power link / header,UNTESTED – no fixture,—,160
161,Analog,J43 (power link / header),power link / header,UNTESTED – no fixture,—,161
162,Analog,J44 (power link / header),power link / header,UNTESTED – no fixture,—,162
163,Analog,J56 (board header),board header,UNTESTED – no fixture,4,163
164,DSP PCBA (H1S1 MCU wiring),J1 (power link / header),power link / header,UNTESTED – no fixture,4,164
165,DSP PCBA (H1S1 MCU wiring),J2 (power link / header),power link / header,UNTESTED – no fixture,4,165
166,DSP PCBA (H1S1 MCU wiring),J3 (power link / header),power link / header,UNTESTED – no fixture,4,166
167,DSP PCBA (H1S1 MCU wiring),J4 (power link / header),power link / header,UNTESTED – no fixture,4,167
168,DSP PCBA (H1S1 MCU wiring),J6 (power link / header),power link / header,UNTESTED – no fixture,4,168
169,Digital,J4 (power link / header),power link / header,UNTESTED – no fixture,4,169
170,Digital,J5 (board header),board header,UNTESTED – no fixture,4,170
171,Digital,J6 (board header),board header,UNTESTED – no fixture,4,171
172,Digital,J7 (power link / header),power link / header,UNTESTED – no fixture,4,172
173,Digital,J10 (power link / header),power link / header,UNTESTED – no fixture,4,173
174,Digital,J14 (debug / test header),debug / test header,UNTESTED – no fixture,4,174
175,Digital,J15 (debug / test header),debug / test header,UNTESTED – no fixture,4,175
176,Digital,J19 (power link / header),power link / header,UNTESTED – no fixture,—,176
177,Digital,J20 (board header),board header,UNTESTED – no fixture,4,177
178,Digital,J21 (board header),board header,UNTESTED – no fixture,4,178
179,Digital,J22 (power link / header),power link / header,UNTESTED – no fixture,4,179
180,Digital,J23 (debug / test header),debug / test header,UNTESTED – no fixture,4,180
181,Digital,J24 (power link / header),power link / header,UNTESTED – no fixture,4,181
182,Digital,J25 (power link / header),power link / header,UNTESTED – no fixture,4,182
183,Digital,J26 (board header),board header,UNTESTED – no fixture,4,183
184,Digital,J27 (power link / header),power link / header,UNTESTED – no fixture,4,184
185,Digital,J30 (power link / header),power link / header,UNTESTED – no fixture,—,185
186,Digital,J31 (power link / header),power link / header,UNTESTED – no fixture,4,186
187,Digital,J32 (debug / test header),debug / test header,UNTESTED – no fixture,4,187
188,Digital,J35 (power link / header),power link / header,UNTESTED – no fixture,—,188
189,Digital,J36 (power link / header),power link / header,UNTESTED – no fixture,—,189
190,Digital,J37 (power link / header),power link / header,UNTESTED – no fixture,—,190
191,Digital,J38 (power link / header),power link / header,UNTESTED – no fixture,—,191
192,Digital,J39 (power link / header),power link / header,UNTESTED – no fixture,—,192
193,Assemblies,CM4 compute module,assembly,UNTESTED – no fixture,1,193
194,Assemblies,SHARC DSP A (ADSP-21564),assembly,UNTESTED – no fixture,1,194
195,Assemblies,SHARC DSP B (ADSP-21564),assembly,UNTESTED – no fixture,1,195
196,Assemblies,CPLD clock master (MAX V),assembly,UNTESTED – no fixture,1,196
197,Assemblies,DAC AK4458 ×2,assembly,UNTESTED – no fixture,1,197
198,Assemblies,"ADC AK5558 ×3 (U15 dead, U39, U60)",assembly,UNTESTED – no fixture,1,198
199,Assemblies,Codec AK4619,assembly,UNTESTED – no fixture,1,199
200,Assemblies,"Power MCU (STM32F030F4, always-on)",assembly,UNTESTED – no fixture,1,200
201,Assemblies,M MCU (STM32G031),assembly,UNTESTED – no fixture,1,201
202,Assemblies,S MCU H1S1 (STM32U575),assembly,UNTESTED – no fixture,1,202
203,Assemblies,TFT display,assembly,UNTESTED – no fixture,1,203
