_Cell,Seq,Chan,Fun,Hxf,Save2Mix,Notes,MxAdd,Shex,MxDatS,MxDat,sAdd,sCon,dAdd,dCon,Function,FunX,ShFunction,ShFunX,Table,ShTable,SigmaKey,Sigma,DspI2c,DspSpi,DspPage,DspAdd,DspAddHex,Checked,DefStr
Aux[1-12]RtgDca[1-1],1,,,,,Aux master DCA assignment (1-8 or off),,,9,,,,,,,,,,,,,,,,,,,,
Aux[1-12]RtgLevel[1-1],1,,,,,Aux master output level,,,255,,,,,,,,,,dB:Off:-50@31:-30@63:-10@127:10,,,,,,,,,,
Aux[1-12]RtgMute[1-1],1,,,,,Aux master mute on/off,,,2,,,,,,,,,,,,,,,,,,,,
Bt[1-1]On[1-1],1,,,,false,Bluetooth audio input on/off,,,2,,,,,,,,,,,,,,,,,,,,
Bt[1-1]Level[1-1],1,,,,false,Bluetooth audio input level,,,255,,,,,,,,,,0=-20/127=6/[Lin],,,,,,,,,,
Bt[1-1]Src[1-1],1,,,,false,Bluetooth source select,,,4,,,,,,,,,,,,,,,,,,,,
Chan[1-2]Instr[1-1],1,,,,,Instrument input mode (hi-Z),,,33,,,,,,,,,,,,,,,,,,,,
Chan[1-32]AntiClip[1-1],1,,,,,Auto gain reduction on/off (M&W exclusive),,,2,,,,,,,,ChanInput,,0=-20/127=0/[Lin],,,,,,,,,,
Chan[1-32]Color[1-1],1,,,,,Fader cap color code,,,16,,,,,,,,ChanInput,,,,,,,,,,,,
Chan[1-32]CompAtt[1-1],1,,,,,Compressor attack time,,,255,,,,,,,,ChanComp,,0=0/254=250/[Log],,,,,,,,,,
Chan[1-32]CompKnee[1-1],1,,,,,Compressor soft/hard knee,,,2,,,,,,,,ChanComp,,,,,,,,,,,,
Chan[1-32]CompMake[1-1],1,,,,,Compressor makeup gain,,,33,,,,,,,,ChanComp,,0=0/127=20/[Lin],,,,,,,,,,
Chan[1-32]CompOn[1-1],1,,,,,Compressor on/off,,,2,,,,,,,,ChanComp,,,,,,,,,,,,
Chan[1-32]CompPar[1-1],1,,,,,Parallel compression blend (dry/wet),,,33,,,,,,,,ChanComp,,0=0/127=100/[Lin],,,,,,,,,,
Chan[1-32]CompRat[1-1],1,,,,,Compressor ratio (1:1 to 30:1),,,128,,,,,,,,ChanComp,,0=1/127=30/[Log],,,,,,,,,,
Chan[1-32]CompRel[1-1],1,,,,,Compressor release time,,,255,,,,,,,,ChanComp,,0=5/254=5000/[Log],,,,,,,,,,
Chan[1-32]CompKey[1-1],1,,,,,Compressor sidechain key source,,,33,,,,,,,,ChanComp,,,,,,,,,,,,
Chan[1-32]CompDetSrc[1-1],1,,,,,Compressor self-key tap source (PreEQ/PostEQ),,,2,,,,,,,,ChanComp,,,,,,,,,,,,
Chan[1-32]CompFilterOn[1-1],1,,,,,Compressor sidechain filter on/off,,,2,,,,,,,,ChanComp,,,,,,,,,,,,
Chan[1-32]CompFilterHpf[1-1],1,,,,,Compressor sidechain HPF frequency,,,65,32,,,,,,,ChanComp,,0=20/64=1000/[Log],,,,,,,,,,
Chan[1-32]CompFilterLpf[1-1],1,,,,,Compressor sidechain LPF frequency,,,255,127,,,,,,,ChanComp,,0=500/127=20000/[Log],,,,,,,,,,
Chan[1-32]CompFilterQ[1-1],1,,,,,Compressor sidechain filter Q,,,15,7,,,,,,,ChanComp,,0=0.1/14=10/[Log],,,,,,,,,,
Chan[1-32]CompLimMode[1-1],1,,,,,Compressor/Limiter mode toggle,,,2,,,,,,,,ChanComp,,,,,,,,,,,,
Chan[1-32]CompEqPos[1-1],1,,,,,Compressor EQ position (Pre/Post),,,2,,,,,,,,ChanComp,,,,,,,,,,,,
Chan[1-32]CompThr[1-1],1,,,,,Compressor threshold level,,,141,,,,,,,,ChanComp,,0=-60/140=10/[Lin],,,,,,,,,,
Chan[1-32]CompType[1-1],1,,,,,Compressor type (Tube/FET/VCA/Optical),,,4,,,,,,,,ChanComp,,,,,,,,,,,,
Chan[1-32]CueSel[1-1],1,,,,false,Channel cue/solo select (PFL/AFL/SIP),,,2,,,,,,,,Chan_Rtg,,,,,,,,,,,,
Chan[1-32]Delay[1-1],1,,,,,Channel input delay up to 250ms,,,255,,,,,,,,,,0=0/127=250/[Log],,,,,,,,,,
Chan[1-32]EqFreq[1-1],1,,,,,4-band parametric EQ frequency,,,255,127,,,,,,,Chan_Eq,,0=20/254=200/[Log][0dp],,,,,,,,,,
Chan[1-32]EqFreq[2-2],1,,,,,4-band parametric EQ frequency,,,255,127,,,,,,,Chan_Eq,,0=100/254=1000/[Log][0dp],,,,,,,,,,
Chan[1-32]EqFreq[3-3],1,,,,,4-band parametric EQ frequency,,,255,127,,,,,,,Chan_Eq,,0=800/254=5000/[Log][0dp],,,,,,,,,,
Chan[1-32]EqFreq[4-4],1,,,,,4-band parametric EQ frequency,,,255,127,,,,,,,Chan_Eq,,0=3000/254=20000/[Log][0dp],,,,,,,,,,
Chan[1-32]EqGain[1-4],1,,,,,4-band parametric EQ gain ±15dB,,,121,60,,,,,,,Chan_Eq,,0=-15/120=15/[Lin][2dp],,,,,,,,,,
Chan[1-32]EqHpf[1-1],1,,,,,High-pass (low cut) filter frequency,,,65,32,,,,,,,Chan_Eq,,0=20/64=1000/[Log][0dp],,,,,,,,,,
Chan[1-32]EqHpfSlope[1-1],1,,,,,HPF slope (6/12/18/24/36 dB/oct),,,6,,,,,,,,Chan_Eq,,,,,,,,,,,,
Chan[1-32]EqLpf[1-1],1,,,,,Low-pass (high cut) filter frequency,,,255,127,,,,,,,Chan_Eq,,0=1000/127=20000/[Log][0dp],,,,,,,,,,
Chan[1-32]EqOn[1-1],1,,,,,Channel EQ on/off,,,2,,,,,,,,Chan_Eq,,,,,,,,,,,,
Chan[1-32]EqQ[1-4],1,,,,,4-band parametric EQ Q/bandwidth,,,121,60,,,,,,,Chan_Eq,,0=0.1/120=10/[Log][2dp],,,,,,,,,,
Chan[1-32]EqShelf[1-2],1,,,,,Bands 1/4 shelf mode on/off,,,2,,,,,,,,Chan_Eq,,,,,,,,,,,,
Chan[1-32]Gain[1-1],1,,,,,Mic preamp gain 0-60dB,,,61,,,,,,,,,,0=0/60=60/[Lin][0dp],,,,,,,,,,
Chan[1-32]GateAtt[1-1],1,,,,,Gate attack time,,,255,,,,,,,,ChanGate,,0=0.1/254=250/[Log],,,,,,,,,,
Chan[1-32]GateHold[1-1],1,,,,,Gate hold time before release,,,255,,,,,,,,ChanGate,,0=0/254=2000/[Log],,,,,,,,,,
Chan[1-32]GateKey[1-1],1,,,,,Gate sidechain key source,,,255,,,,,,,,ChanGate,,,,,,,,,,,,
Chan[1-32]GateDetSrc[1-1],1,,,,,Gate self-key tap source (PreEQ/PostEQ),,,2,,,,,,,,ChanGate,,,,,,,,,,,,
Chan[1-32]GateFilterOn[1-1],1,,,,,Gate sidechain filter on/off,,,2,,,,,,,,ChanGate,,,,,,,,,,,,
Chan[1-32]GateFilterHpf[1-1],1,,,,,Gate sidechain HPF frequency,,,65,32,,,,,,,ChanGate,,0=20/64=1000/[Log],,,,,,,,,,
Chan[1-32]GateFilterLpf[1-1],1,,,,,Gate sidechain LPF frequency,,,255,127,,,,,,,ChanGate,,0=500/127=20000/[Log],,,,,,,,,,
Chan[1-32]GateFilterQ[1-1],1,,,,,Gate sidechain filter Q,,,15,7,,,,,,,ChanGate,,0=0.1/14=10/[Log],,,,,,,,,,
Chan[1-32]GateOn[1-1],1,,,,,Gate on/off,,,2,,,,,,,,ChanGate,,,,,,,,,,,,
Chan[1-32]GateRel[1-1],1,,,,,Gate release time,,,255,,,,,,,,ChanGate,,0=50/254=5000/[Log],,,,,,,,,,
Chan[1-32]GateRng[1-1],1,,,,,Gate depth/range 0-60dB,,,255,,,,,,,,ChanGate,,0=0/254=60/[Lin],,,,,,,,,,
Chan[1-32]GateThr[1-1],1,,,,,Gate threshold level,,,255,,,,,,,,ChanGate,,0=-80/254=0/[Lin],,,,,,,,,,
Chan[1-32]InputSel[1-1],1,,,,,Input source (Mic/Line/Digital/USB),,,33,,,,,,,,,,,,,,,,,,,,
Chan[1-32]InsertOn[1-1],1,,,,,External insert send/return on/off,,,2,,,,,,,,ChanInput,,,,,,,,,,,,
Chan[1-32]Link[1-1],1,,,,,Stereo link with adjacent channel,,,2,,,,,,,,ChanInput,,,,,,,,,,,,
Chan[1-32]MuteGrp[1-8],1,,,,,Mute group 1-8 assignment,,,1,,,,,,,,Chan_Rtg,,,,,,,,,,,,
Chan[1-32]Phantom[1-1],1,,,,,+48V phantom power on/off,,,2,,,,,,,,ChanInput,,,,,,,,,,,,
Chan[1-32]Pol[1-1],1,,,,,Polarity (phase) reverse,,,2,,,,,,,,,,,,,,,,,,,,
Chan[1-32]RtgAuxOn[1-12],1,,,,,Channel-to-aux send on/off,,,1,,,,,,,,Chan_Rtg,,,,,,,,,,,,
Chan[1-32]RtgAuxPick[1-12],1,,,,,Per-aux pickoff (PreEQ/PostEQ/PreFdr/PostFdr),,,4,,,,,,,,Chan_Rtg,,,,,,,,,,,,
Chan[1-32]RtgAuxSend[1-12],1,,,,,Per-channel send level to each aux,,,255,,,,,,,,Chan_Rtg,,dB:Off:-50@31:-30@63:-10@127:0,,,,,,,,,,
Chan[1-32]RtgCtrOn[1-1],1,,,,,Center/sub output assign on/off,,,2,,,,,,,,Chan_Rtg,,,,,,,,,,,,
Chan[1-32]RtgDca[1-1],1,,,,,DCA group assignment (1-8 or off),,,9,,,,,,,,Chan_Rtg,,,,,,,,,,,,
Chan[1-32]RtgFx[1-6],1,,,,,FX send on/off per FX bus,,,1,,,,,,,,Chan_Rtg,,,,,,,,,,,,
Chan[1-32]RtgFxSend[1-6],1,,,,,Per-channel send level to each FX bus,,,255,,,,,,,,Chan_Rtg,,dB:Off:-50@31:-30@63:-10@127:0,,,,,,,,,,
Chan[1-32]RtgGrpOn[1-4],1,,,,,Channel-to-group routing on/off,,,1,,,,,,,,Chan_Rtg,,,,,,,,,,,,
Chan[1-32]RtgLevel[1-1],1,,,,,Channel fader level,,,255,,,,,,,,Chan_Rtg,,dB:Off:-50@31:-30@63:-10@127:10,,,,,,,,,,
Chan[1-32]RtgMainOn[1-1],1,,,,,Channel to main L/R assign on/off,,,2,,,,,,,,Chan_Rtg,,,,,,,,,,,,
Chan[1-32]RtgMute[1-1],1,,,,,Channel mute on/off,,,8,,,,,,,,Chan_Rtg,,,,,,,,,,,,
Chan[1-32]RtgPan[1-1],1,,,,,Channel pan L/R position,,,127,,,,,,,,Chan_Rtg,,Pan:dB:0:Off,,,,,,,,,,
Chan[1-32]TubeSat[1-1],1,,,,,Tube saturation amount,,,33,,,,,,,,ChanComp,,0=0/127=100/[Lin],,,,,,,,,,
Chan[1-32]TubeOn[1-1],1,,,,,Tube saturation on/off,,,2,,,,,,,,ChanComp,,,,,,,,,,,,
Dca[1-8]Level[1-1],1,,,,,DCA group master fader level,,,255,,,,,,,,DcaCtrl,,dB:Off:-50@31:-30@63:-10@127:10,,,,,,,,,,
Dca[1-8]Mute[1-1],1,,,,,DCA group mute on/off,,,2,,,,,,,,DcaCtrl,,,,,,,,,,,,
Fdr[1-5]Grp[1-32],1,,,,false,Fader group membership (ch assign),,,1,,,,,,,,,,,,,,,,,,,,
Fx[1-6]Damp[1-1],1,,,,,FX HF damping amount,,,33,,,,,,,,FxCtrl,,,,,,,,,,,,
Fx[1-6]Decay[1-1],1,,,,,FX reverb decay time,,,255,,,,,,,,FxCtrl,,0=0.1/127=10/[Log],,,,,,,,,,
Fx[1-6]DelayTime[1-1],1,,,,,FX delay/tempo time,,,255,,,,,,,,FxCtrl,,0=1/127=1000/[Log],,,,,,,,,,
Fx[1-6]DuckOn[1-1],1,,,,,FX ducker on/off,,,2,,,,,,,,FxCtrl,,,,,,,,,,,,
Fx[1-6]DuckThr[1-1],1,,,,,FX ducker threshold (legacy alias of DuckSens),,,255,,,,,,,,FxCtrl,,0=-30/127=0/[Lin],,,,,,,,,,
Fx[1-6]DuckSens[1-1],1,,,,,FX ducker sensitivity (alias of threshold),,,255,,,,,,,,FxCtrl,,0=-30/127=0/[Lin],,,,,,,,,,
Fx[1-6]Balance[1-1],1,,,,,FX delay/reverb balance,,,128,,,,,,,,FxCtrl,,0=0/127=100/[Lin],,,,,,,,,,
Fx[1-6]EqHi[1-1],1,,,,,FX presence/high EQ,,,65,32,,,,,,,FxCtrl,,0=-6/127=6/[Lin],,,,,,,,,,
Fx[1-6]EqPresence[1-1],1,,,,,FX high-shelf presence EQ (~5kHz +/-6dB),,,65,32,,,,,,,FxCtrl,,0=-6/127=6/[Lin],,,,,,,,,,
Fx[1-6]EqLo[1-1],1,,,,,FX low EQ,,,65,32,,,,,,,FxCtrl,,0=-6/127=6/[Lin],,,,,,,,,,
Fx[1-6]EqMid[1-1],1,,,,,FX mid EQ,,,65,32,,,,,,,FxCtrl,,0=-6/127=6/[Lin],,,,,,,,,,
Fx[1-6]EqHpf[1-1],1,,,,,FX low cut / HPF frequency,,,255,127,,,,,,,FxCtrl,,0=80/127=300/[Log],,,,,,,,,,
Fx[1-6]Feedback[1-1],1,,,,,FX delay repeats/feedback,,,255,,,,,,,,FxCtrl,,0=0/127=100/[Lin],,,,,,,,,,
Fx[1-6]ModRate[1-1],1,,,,,FX LFO modulation rate,,,255,127,,,,,,,FxCtrl,,0=0.1/127=10/[Log],,,,,,,,,,
Fx[1-6]ModLevel[1-1],1,,,,,FX LFO modulation depth,,,128,,,,,,,,FxCtrl,,0=0/127=100/[Lin],,,,,,,,,,
Fx[1-6]LfoShape[1-1],1,,,,,FX LFO shape (sine/triangle),,,2,,,,,,,,FxCtrl,,,,,,,,,,,,
Fx[1-6]LfoMode[1-1],1,,,,,FX LFO/manual mode select,,,2,,,,,,,,FxCtrl,,,,,,,,,,,,
Fx[1-6]StereoWidth[1-1],1,,,,,FX stereo width control,,,128,,,,,,,,FxCtrl,,0=0/127=100/[Lin],,,,,,,,,,
Fx[1-6]PingPongStart[1-1],1,,,,,FX ping-pong start side (L/R),,,2,,,,,,,,FxCtrl,,,,,,,,,,,,
Fx[1-6]Mix[1-1],1,,,,,FX dry/wet mix,,,128,,,,,,,,FxCtrl,,0=0/127=100/[Lin],,,,,,,,,,
Fx[1-6]ReturnWetLock[1-1],1,,,,,FX return wet lock on/off,,,2,,,,,,,,FxCtrl,,,,,,,,,,,,
Fx[1-6]On[1-1],1,,,,,FX system on/off,,,2,,,,,,,,FxCtrl,,,,,,,,,,,,
Fx[1-6]PedAssign[1-4],1,,,,,FX footswitch pedal assignment,,,5,,,,,,,,FxCtrl,,,,,,,,,,,,
Fx[1-6]MuteGrp[1-8],1,,,,,FX return mute group assignment,,,9,,,,,,,,FxCtrl,,,,,,,,,,,,
Fx[1-6]PreDelay[1-1],1,,,,,FX pre-delay time,,,255,,,,,,,,FxCtrl,,0=0/127=100/[Lin],,,,,,,,,,
Fx[1-6]RtgAuxOn[1-12],1,,,,,FX return to aux send on/off,,,1,,,,,,,,FxCtrl,,,,,,,,,,,,
Fx[1-6]RtgAuxSend[1-12],1,,,,,FX return to aux send level,,,255,,,,,,,,FxCtrl,,dB:Off:-50@31:-30@63:-10@127:0,,,,,,,,,,
Fx[1-6]RtgDca[1-1],1,,,,,FX return DCA assignment (1-8 or off),,,9,,,,,,,,FxCtrl,,,,,,,,,,,,
Fx[1-6]RtgLevel[1-1],1,,,,,FX return master level,,,255,,,,,,,,FxCtrl,,,,,,,,,,,,
Fx[1-6]RtgMute[1-1],1,,,,,FX return mute on/off,,,2,,,,,,,,FxCtrl,,,,,,,,,,,,
Fx[1-6]Tap[1-1],1,,,,false,FX tap tempo trigger,,,2,,,,,,,,FxCtrl,,,,,,,,,,,,
Fx[1-1]Mute[1-1],1,,,,,Global FX mute on/off,,,2,,,,,,,,FxCtrl,,,,,,,,,,,,
Fx[1-6]Type[1-1],1,,,,,FX type (Echo/PingPong/Doubling/Reverb/Chorus/Flanger/Phaser),,,7,,,,,,,,FxCtrl,,,,,,,,,,,,
Main[1-1]CueSel[1-1],1,,,,false,Main output cue/solo select,,,2,,,,,,,,,,,,,,,,,,,,
Main[1-1]Delay[1-1],1,,,,,Main L/R output delay up to 250ms,,,255,,,,,,,,,,0=0/127=250/[Log],,,,,,,,,,
Main[1-1]Mute[1-1],1,,,,,Main L/R master mute on/off,,,2,,,,,,,,,,,,,,,,,,,,
Main[1-1]RtgLevel[1-1],1,,,,,Main L/R master fader level,,,255,,,,,,,,,,,,,,,,,,,,
Main[1-1]Geq[1-28],1,,,,,Main 28-band stereo GEQ gain per band,,,65,32,,,,,,,MainEq,,0=-12/127=12/[Lin],,,,,,,,,,
Main[1-4]CompAtt[1-1],1,,,,,Main compressor attack,,,255,,,,,,,,MainComp,,0=0/254=250/[Log],,,,,,,,,,
Main[1-4]CompKnee[1-1],1,,,,,Main compressor soft/hard knee,,,2,,,,,,,,MainComp,,,,,,,,,,,,
Main[1-4]CompMake[1-1],1,,,,,Main compressor makeup gain,,,33,,,,,,,,MainComp,,,,,,,,,,,,
Main[1-4]CompOn[1-1],1,,,,,Main compressor on/off,,,2,,,,,,,,MainComp,,,,,,,,,,,,
Main[1-4]CompPar[1-1],1,,,,,Main parallel compression blend,,,33,,,,,,,,MainComp,,,,,,,,,,,,
Main[1-4]CompRat[1-1],1,,,,,Main compressor ratio,,,128,,,,,,,,MainComp,,0=1/127=30/[Log],,,,,,,,,,
Main[1-4]CompRel[1-1],1,,,,,Main compressor release,,,255,,,,,,,,MainComp,,0=5/254=5000/[Log],,,,,,,,,,
Main[1-4]CompThr[1-1],1,,,,,Main compressor threshold,,,141,,,,,,,,MainComp,,0=-60/140=10/[Lin],,,,,,,,,,
Main[1-4]CompType[1-1],1,,,,,Main compressor type (Tube/FET/VCA/Optical),,,4,,,,,,,,MainComp,,,,,,,,,,,,
Main[1-4]CrossoverFreq[1-1],1,,,,,Electronic crossover frequency,,,255,,,,,,,,MainCrossover,,,,,,,,,,,,
Main[1-4]CrossoverSlope[1-1],1,,,,,Crossover slope (HPF 36/48 dB/oct),,,4,,,,,,,,MainCrossover,,,,,,,,,,,,
Main[1-4]EqFreq[1-1],1,,,,,Main 4-band parametric EQ frequency,,,255,127,,,,,,,MainEq,,0=20/254=200/[Log],,,,,,,,,,
Main[1-4]EqFreq[2-2],1,,,,,Main 4-band parametric EQ frequency,,,255,127,,,,,,,MainEq,,0=100/254=1000/[Log],,,,,,,,,,
Main[1-4]EqFreq[3-3],1,,,,,Main 4-band parametric EQ frequency,,,255,127,,,,,,,MainEq,,0=800/254=5000/[Log],,,,,,,,,,
Main[1-4]EqFreq[4-4],1,,,,,Main 4-band parametric EQ frequency,,,255,127,,,,,,,MainEq,,0=3000/254=20000/[Log],,,,,,,,,,
Main[1-4]EqGain[1-4],1,,,,,Main 4-band parametric EQ gain ±15dB,,,121,60,,,,,,,MainEq,,0=-15/120=15/[Lin],,,,,,,,,,
Main[1-4]EqHpf[1-4],1,,,,,Main high-pass filter frequency,,,65,32,,,,,,,MainEq,,0=20/64=1000/[Log],,,,,,,,,,
Main[1-4]EqOn[1-1],1,,,,,Main EQ on/off,,,2,,,,,,,,MainEq,,,,,,,,,,,,
Main[1-4]EqQ[1-4],1,,,,,Main 4-band parametric EQ Q/bandwidth,,,121,60,,,,,,,MainEq,,0=0.1/120=10/[Log],,,,,,,,,,
Main[1-4]EqShelf[1-2],1,,,,,Main EQ bands 1/4 shelf mode on/off,,,2,,,,,,,,MainEq,,,,,,,,,,,,
Main[1-4]LimiterAtt[1-1],1,,,,,Main limiter attack,,,33,,,,,,,,MainLimiter,,0=0.1/127=100/[Log],,,,,,,,,,
Main[1-4]LimiterOn[1-1],1,,,,,Main limiter on/off,,,2,,,,,,,,MainLimiter,,,,,,,,,,,,
Main[1-4]LimiterRel[1-1],1,,,,,Main limiter release,,,33,,,,,,,,MainLimiter,,0=5/127=2000/[Log],,,,,,,,,,
Main[1-4]LimiterRng[1-1],1,,,,,Main limiter range/depth,,,33,,,,,,,,MainLimiter,,0=0/127=60/[Lin],,,,,,,,,,
Main[1-4]LimiterThr[1-1],1,,,,,Main limiter threshold,,,33,,,,,,,,MainLimiter,,0=-30/127=0/[Lin],,,,,,,,,,
Main[1-4]Mtr[1-1],1,,,,false,Main output level meter,,,80,,,,,,,,,,,,,,,,,,,,
Main[1-4]PeqGain[1-12],1,,,,,Main 28-band graphic EQ gain,,,65,32,,,,,,,,,0=-12/127=12/[Lin],,,,,,,,,,
Mon[1-1]Delay[1-1],1,,,,,Monitor output delay up to 250ms,,,255,,,,,,,,,,0=0/127=250/[Log],,,,,,,,,,
Mon[1-1]InputSel[1-1],1,,,,,Monitor source select (L/R or aux),,,2,,,,,,,,,,,,,,,,,,,,
Mon[1-1]Level[1-2],1,,,,,Monitor output level (L/R),,,255,,,,,,,,,,dB:Off:-50@31:-30@63:-10@127:10,,,,,,,,,,
Mute[1-8]On[1-1],1,,,,false,Mute group 1-8 master on/off,,,2,,,,,,,,,,,,,,,,,,,,
Noise[1-1]Hpf[1-1],1,,,,,Noise gen HPF 80Hz on/off,,,2,,,,,,,,,,,,,,,,,,,,
Noise[1-1]Level[1-1],1,,,,,Noise/tone generator output level,,,255,,,,,,,,,,0=-40/127=0/[Lin],,,,,,,,,,
Noise[1-1]On[1-1],1,,,,,Noise/tone generator on/off,,,2,,,,,,,,,,,,,,,,,,,,
Noise[1-1]Rtg[1-10],1,,,,,Noise routing to aux/main outputs,,,11,,,,,,,,,,,,,,,,,,,,
Rec[1-1]Level[1-1],1,,,,false,USB 2-track record level,,,255,,,,,,,,,,0=-20/127=6/[Lin],,,,,,,,,,
Rec[1-1]Play[1-1],1,,,,false,USB 2-track playback toggle,,,2,,,,,,,,,,,,,,,,,,,,
Rec[1-1]Rec[1-1],1,,,,false,USB 2-track record toggle,,,2,,,,,,,,,,,,,,,,,,,,
Rec[1-1]Src[1-1],1,,,,false,USB 2-track source (L/R or A1-4),,,4,,,,,,,,,,,,,,,,,,,,
Grp[1-4]CompAtt[1-1],1,,,,,Group compressor attack,,,255,,,,,,,,GrpComp,,0=0/254=250/[Log],,,,,,,,,,
Grp[1-4]CompKnee[1-1],1,,,,,Group compressor soft/hard knee,,,2,,,,,,,,GrpComp,,,,,,,,,,,,
Grp[1-4]CompMake[1-1],1,,,,,Group compressor makeup gain,,,33,,,,,,,,GrpComp,,0=0/127=20/[Lin],,,,,,,,,,
Grp[1-4]CompOn[1-1],1,,,,,Group compressor on/off,,,2,,,,,,,,GrpComp,,,,,,,,,,,,
Grp[1-4]CompPar[1-1],1,,,,,Group parallel compression blend,,,33,,,,,,,,GrpComp,,0=0/127=100/[Lin],,,,,,,,,,
Grp[1-4]CompRat[1-1],1,,,,,Group compressor ratio,,,128,,,,,,,,GrpComp,,0=1/127=30/[Log],,,,,,,,,,
Grp[1-4]CompRel[1-1],1,,,,,Group compressor release,,,255,,,,,,,,GrpComp,,0=5/254=5000/[Log],,,,,,,,,,
Grp[1-4]CompThr[1-1],1,,,,,Group compressor threshold,,,141,,,,,,,,GrpComp,,0=-60/140=10/[Lin],,,,,,,,,,
Grp[1-4]CompType[1-1],1,,,,,Group compressor type (Tube/FET/VCA/Optical),,,4,,,,,,,,GrpComp,,,,,,,,,,,,
Grp[1-4]EqFreq[1-1],1,,,,,Group 4-band parametric EQ freq,,,255,127,,,,,,,GrpEq,,0=20/254=200/[Log],,,,,,,,,,
