board,item,test,verdict,measured,limit,evidence,stamp
Assemblies,M MCU (STM32G031),ML-M,PASS,"ML1=PASS; S_TEST identities: {'H1S1': '// H1S1 DSP', 'H1S4': '// H1S4 SW Left', 'H1S3': '// H1S3 SW Right'}","ML1 PASS (version, if published, reads)","{""mode"": ""stest"", ""window_ms"": 3014.9, ""mcus"": {""H1S1"": ""// H1S1 DSP"", ""H1S4"": ""// H1S4 SW Left"", ""H1S3"": ""// H1S3 SW Right""}, ""raw"": ""+\n:\n.\n:\n.\n:\n.\n:\n+\n// H1S1 DSP\n// H1S4 SW Left\n// H1S3 SW Right\n.\n:\n.\n:\n.\n:\n.\n:\n.\n:\n.\n""} MH1 firmware is not in ~/build-h1s1, so whether it publishes a version cell is UNKNOWN; no version was read.",2026-09-22T19:01:46Z
DSP PCBA (H1S1 MCU wiring),Right panel MCU link (fw.csv SW_RIGHT),ML-P1,PASS,H1S3 S_TEST = '// H1S3 SW Right'; app log: 22/09/2026 19:59:28.721894: MCU verified: // H1S1 DSP | 22/09/2026 19:59:28.723907: MCU verified: // H1S4 SW Left | 22/09/2026 19:59:28.723972: MCU verified: // H1S3 SW Right,"id answers (fw.csv SW_RIGHT = STM32F030R8, not carried on the wire)","{""mode"": ""stest"", ""window_ms"": 3011.0, ""mcus"": {""H1S1"": ""// H1S1 DSP"", ""H1S4"": ""// H1S4 SW Left"", ""H1S3"": ""// H1S3 SW Right""}, ""raw"": ""+\n:\n.\n:\n.\n:\n.\n:\n+\n// H1S1 DSP\n// H1S4 SW Left\n// H1S3 SW Right\n.\n:\n.\n:\n.\n:\n.\n:\n.\n:\n.\n:\n""} --- matrix-app /home/app/logs/log --- 22/09/2026 19:59:28.721894: MCU verified: // H1S1 DSP 22/09/2026 19:59:28.723907: MCU verified: // H1S4 SW Lef...",2026-09-22T19:01:51Z
Inter-board links,Link 'dig-panel-a',ML-P1,PASS,H1S3 S_TEST = '// H1S3 SW Right'; app log: 22/09/2026 19:59:28.721894: MCU verified: // H1S1 DSP | 22/09/2026 19:59:28.723907: MCU verified: // H1S4 SW Left | 22/09/2026 19:59:28.723972: MCU verified: // H1S3 SW Right,"id answers (fw.csv SW_RIGHT = STM32F030R8, not carried on the wire)","{""mode"": ""stest"", ""window_ms"": 3011.0, ""mcus"": {""H1S1"": ""// H1S1 DSP"", ""H1S4"": ""// H1S4 SW Left"", ""H1S3"": ""// H1S3 SW Right""}, ""raw"": ""+\n:\n.\n:\n.\n:\n.\n:\n+\n// H1S1 DSP\n// H1S4 SW Left\n// H1S3 SW Right\n.\n:\n.\n:\n.\n:\n.\n:\n.\n:\n.\n:\n""} --- matrix-app /home/app/logs/log --- 22/09/2026 19:59:28.721894: MCU verified: // H1S1 DSP 22/09/2026 19:59:28.723907: MCU verified: // H1S4 SW Lef...",2026-09-22T19:01:51Z
DSP PCBA (H1S1 MCU wiring),Right panel MCU link (fw.csv SW_RIGHT),ML-B0,NO DATA,no BOOT0/NRST drive on H1S1,ROM ACK 0x79 and re-enumeration,"PREREQUISITE: BOOT0/NRST drive from H1S1 (spec prereq 6). No BOOT0, NRST, S9 or S13 anywhere in ~/build-h1s1; H1S1's entire GPIO set is CS1-8, RST_C, CS_M, CS_C, BLINK, BUSY, S2, S3 (Core/Inc/main.h:59-91).",2026-09-22T19:01:56Z
DSP PCBA (H1S1 MCU wiring),Left panel MCU link (fw.csv SW_LEFT),ML-B0,NO DATA,no BOOT0/NRST drive on H1S1,ROM ACK 0x79 and re-enumeration,"PREREQUISITE: BOOT0/NRST drive from H1S1 (spec prereq 6). No BOOT0, NRST, S9 or S13 anywhere in ~/build-h1s1; H1S1's entire GPIO set is CS1-8, RST_C, CS_M, CS_C, BLINK, BUSY, S2, S3 (Core/Inc/main.h:59-91).",2026-09-22T19:01:56Z
DSP PCBA (H1S1 MCU wiring),Left panel MCU link (fw.csv SW_LEFT),ML-P2,PASS,H1S4 S_TEST = '// H1S4 SW Left'; app log: 22/09/2026 19:59:28.721894: MCU verified: // H1S1 DSP | 22/09/2026 19:59:28.723907: MCU verified: // H1S4 SW Left | 22/09/2026 19:59:28.723972: MCU verified: // H1S3 SW Right,"id answers (fw.csv SW_LEFT = STM32F030R8, not carried on the wire)","{""mode"": ""stest"", ""window_ms"": 3011.5, ""mcus"": {""H1S1"": ""// H1S1 DSP"", ""H1S4"": ""// H1S4 SW Left"", ""H1S3"": ""// H1S3 SW Right""}, ""raw"": ""+\n.\n:\n.\n:\n.\n:\n.\n+\n// H1S1 DSP\n// H1S4 SW Left\n// H1S3 SW Right\n:\n.\n:\n.\n:\n.\n:\n.\n:\n.\n:\n.\n""} --- matrix-app /home/app/logs/log --- 22/09/2026 19:59:28.721894: MCU verified: // H1S1 DSP 22/09/2026 19:59:28.723907: MCU verified: // H1S4 SW Lef...",2026-09-22T19:01:56Z
Inter-board links,Link 'dig-panel-b',ML-P2,PASS,H1S4 S_TEST = '// H1S4 SW Left'; app log: 22/09/2026 19:59:28.721894: MCU verified: // H1S1 DSP | 22/09/2026 19:59:28.723907: MCU verified: // H1S4 SW Left | 22/09/2026 19:59:28.723972: MCU verified: // H1S3 SW Right,"id answers (fw.csv SW_LEFT = STM32F030R8, not carried on the wire)","{""mode"": ""stest"", ""window_ms"": 3011.5, ""mcus"": {""H1S1"": ""// H1S1 DSP"", ""H1S4"": ""// H1S4 SW Left"", ""H1S3"": ""// H1S3 SW Right""}, ""raw"": ""+\n.\n:\n.\n:\n.\n:\n.\n+\n// H1S1 DSP\n// H1S4 SW Left\n// H1S3 SW Right\n:\n.\n:\n.\n:\n.\n:\n.\n:\n.\n:\n.\n""} --- matrix-app /home/app/logs/log --- 22/09/2026 19:59:28.721894: MCU verified: // H1S1 DSP 22/09/2026 19:59:28.723907: MCU verified: // H1S4 SW Lef...",2026-09-22T19:01:56Z
DSP PCBA (H1S1 MCU wiring),Codec select CS_C (fw.csv Codec),CC1,PASS,05H = 0xBB,"0xBB (MGN2L/MGN2R = +27 dB, the StartAK4619 image)",05H -> 0xBB guard 0x43 ANSWERED,2026-09-22T19:01:57Z
Assemblies,Codec AK4619,CC1,PASS,05H = 0xBB,"0xBB (MGN2L/MGN2R = +27 dB, the StartAK4619 image)",05H -> 0xBB guard 0x43 ANSWERED,2026-09-22T19:01:57Z
DSP PCBA (H1S1 MCU wiring),Codec select CS_C (fw.csv Codec),CC2,PASS,05H 0xBB -> MGN2R 5 -> 0xB5 -> restored 0xBB,"read-back tracks the write, and 05H is restored",before=0xBB write MGN2R=5: 05H := 0xB5 read: 05H -> 0xB5 guard 0x43 ANSWERED restore MGN2R=11: 05H := 0xBB read: 05H -> 0xBB guard 0x43 ANSWERED,2026-09-22T19:01:59Z
Assemblies,Codec AK4619,CC2,PASS,05H 0xBB -> MGN2R 5 -> 0xB5 -> restored 0xBB,"read-back tracks the write, and 05H is restored",before=0xBB write MGN2R=5: 05H := 0xB5 read: 05H -> 0xB5 guard 0x43 ANSWERED restore MGN2R=11: 05H := 0xBB read: 05H -> 0xBB guard 0x43 ANSWERED,2026-09-22T19:01:59Z
DSP PCBA (H1S1 MCU wiring),Mic-gain chain latch CS_M (fw.csv MicGain),MC1,PASS,"wrote 05 09 0D 11 15 19 1D 21 25 29 2D 31 35 39 3D 41 45 49 4D 51 55 59 5D 61 00, read back: VERIFIED 200/200 05 09 0D 11 15 19 1D 21 25 29 2D 31 35 39 3D 41 45 49 4D 51 55 59 5D 61 00",read-back equals the image,image=05 09 0D 11 15 19 1D 21 25 29 2D 31 35 39 3D 41 45 49 4D 51 55 59 5D 61 00 VERIFIED 200/200 05 09 0D 11 15 19 1D 21 25 29 2D 31 35 39 3D 41 45 49 4D 51 55 59 5D 61 00 | pass1 FC FC FC FC 00 43 00 05 00 C3 00 05 B5 43 00 05 00 C3 00 05 BB 43 00 05 00,2026-09-22T19:02:00Z
DSP PCBA (H1S1 MCU wiring),Mic-gain chain latch CS_M (fw.csv MicGain),MC2,PASS,"wrote SAFE 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 00, read back: VERIFIED 200/200 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 00","read-back equals SAFE (gain 0, phantom off, MUTED)",image=01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 00 VERIFIED 200/200 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 00 | pass1 05 09 0D 11 15 19 1D 21 25 29 2D 31 35 39 3D 41 45 49 4D 51 55 59 5D 61 00,2026-09-22T19:02:00Z
DSP PCBA (H1S1 MCU wiring),Mic-gain chain latch CS_M (fw.csv MicGain),MC3,PASS,MC1 read-back is not all-zeros; guard not invoked; CS_M (GPIO27) = 27: op -- pu | hi // GPIO27 = output,"not all-zeros, or the CS_M level explains it","MC1 read-back: VERIFIED 200/200 05 09 0D 11 15 19 1D 21 25 29 2D 31 35 39 3D 41 45 49 4D 51 55 59 5D 61 00 | pass1 FC FC FC FC 00 43 00 05 00 C3 00 05 B5 43 00 05 00 C3 00 05 BB 43 00 05 00 CS_M at the CM4 end (GPIO27): 27: op -- pu | hi // GPIO27 = output The analog-board end of CS_M is not readable through H1S1 (no such command); the CM4 end is, and GPIO27 in pull-DOWN holds CS_M LOW, which g...",2026-09-22T19:02:01Z
DSP PCBA (H1S1 MCU wiring),DSP reset RST_D (fw.csv Reset),DR1,PASS,FRAME_COUNT 8747 -> 13198 advancing; after !RST_D (GPIO16) low 50 ms: None -> None,heartbeat stops within one block period,"before: FRAME_COUNT 8747 -> 13198 after the pulse: ERROR: SPI_RDY never asserted — DSP held in reset, not booted, or the RDY polarity is inverted (try --rdy-active-low) === DSP4 chip 1 diagnostics === --- ERROR: SPI_RDY never asserted — DSP held in reset, not booted, or the RDY polarity is inverted (try --rdy-active-low) === DSP4 chip 1 diagnostics ===",2026-09-22T19:02:16Z
DSP PCBA (H1S1 MCU wiring),DSP reset RST_D (fw.csv Reset),DR2,PASS,"BOOT_STAGE 7/7, BUILD_ID 0x20260812/0x20260812, 29 lanes CARRYING",both SHARCs boot and answer; BOOT_STAGE 7,"--- boot cycle 1 --- pins: 6,24 op dh, 8,12 ip, 7,9,10,11,22,23,25 a0 !RST_D pulsed (GPIO16), 0.500s settle chip 1: attempt 1/2 OK — 427008 bytes sent on CS1 (GPIO6), RDY on GPIO8, 572.6 ms (100% unsynced collision risk) chip 2: attempt 1/2 OK — 367616 bytes sent on CS2 (GPIO24), RDY on GPIO12, 495.3 ms (100% unsynced collision risk) booted 2 chip(s) at 10000000 Hz, SPI mode 1, 0 B/transfer, SP...",2026-09-22T19:02:28Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS1 (fw.csv Dsp1),DC1-CS1,PASS,CS1 asserted (GPIO6): CHIP_ID 1 BUILD_ID 0x20260812,the addressed part answers CHIP_ID 1,=== DSP4 chip 1 diagnostics === MAGIC 0xD5B40001 CHIP_ID 1 (DSPA/U6) BOOT_STAGE 7 running BOOT_CFG 1 FRAME_COUNT 18142 TICKS 5398 SEC_COUNT 18145 LAST_CSID 37 SPORT0_A_DMA (block clock) UNK_CSID 0 UNK_COUNT 0 BLK_OVERRUN 3900 SPI_RX_COUNT 5189 SPI_ERR_COUNT 0 SPI_STAT 0x00540001 SPI_STAT_STK 0x00144023 RESP_DROP 0 PRODUCT_ID 1 LED_MODE 0 SPORT0_ERR_A 0x00000000 DMA0_STAT 0x00006200 SPI_CTL 0x00...,2026-09-22T19:02:29Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS2 (fw.csv Dsp2),DC1-CS2,PASS,CS2 asserted (GPIO24): CHIP_ID 2 BUILD_ID 0x20260812,the addressed part answers CHIP_ID 2,=== DSP4 chip 2 diagnostics === MAGIC 0xD5B40001 CHIP_ID 2 (DSPB/U5) BOOT_STAGE 7 running BOOT_CFG 1 FRAME_COUNT 18862 TICKS 5463 SEC_COUNT 18866 LAST_CSID 37 SPORT0_A_DMA (block clock) UNK_CSID 0 UNK_COUNT 0 BLK_OVERRUN 4951 SPI_RX_COUNT 114 SPI_ERR_COUNT 0 SPI_STAT 0x00540001 SPI_STAT_STK 0x00144023 RESP_DROP 0 PRODUCT_ID 1 LED_MODE 0 SPORT0_ERR_A 0x00000000 DMA0_STAT 0x00006200 SPI_CTL 0x000...,2026-09-22T19:02:30Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS3 (fw.csv Dsp3),DC1-CS3,NO DATA,CS3 is not a chip select on DSP4: 8: ip    pu | hi // GPIO8 = input,n/a -- assert-one-read-one does not apply,"SPEC CORRECTION. CS3/CS4 are wired to DSPA/DSPB SPI_RDY and are INPUTS (MW/D24/HW/hardware-map.md:193-195; dsp4_boot.py RDY_GPIO = {1: 8, 2: 12}). Level read at the CM4 end: 8: ip pu | hi // GPIO8 = input. A 10K pulldown on each part rests the line ASSERTED, so the level does not prove a part is alive either.",2026-09-22T19:02:30Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS4 (fw.csv Dsp4),DC1-CS4,NO DATA,CS4 is not a chip select on DSP4: 12: ip    pd | hi // GPIO12 = input,n/a -- assert-one-read-one does not apply,"SPEC CORRECTION. CS3/CS4 are wired to DSPA/DSPB SPI_RDY and are INPUTS (MW/D24/HW/hardware-map.md:193-195; dsp4_boot.py RDY_GPIO = {1: 8, 2: 12}). Level read at the CM4 end: 12: ip pd | hi // GPIO12 = input. A 10K pulldown on each part rests the line ASSERTED, so the level does not prove a part is alive either.",2026-09-22T19:02:30Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS5 (fw.csv Dsp5),DC1-CS5,NO DATA,CS5 has no part behind it on DSP4,n/a -- 8-DSP scaling provision,"SPEC CORRECTION. hardware-map.md:410-411: ""CS1-8 DSP chip-select provision (8-DSP scaling -- only CS1/CS2 live on DSP4; CS3/CS4 wired as DSP1/2 SPI_RDY)"". CS5-CS8 reach no fitted part, so no read can answer and none ever will on this board.",2026-09-22T19:02:30Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS6 (fw.csv Dsp6),DC1-CS6,NO DATA,CS6 has no part behind it on DSP4,n/a -- 8-DSP scaling provision,"SPEC CORRECTION. hardware-map.md:410-411: ""CS1-8 DSP chip-select provision (8-DSP scaling -- only CS1/CS2 live on DSP4; CS3/CS4 wired as DSP1/2 SPI_RDY)"". CS5-CS8 reach no fitted part, so no read can answer and none ever will on this board.",2026-09-22T19:02:30Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS7 (fw.csv Dsp7),DC1-CS7,NO DATA,CS7 has no part behind it on DSP4,n/a -- 8-DSP scaling provision,"SPEC CORRECTION. hardware-map.md:410-411: ""CS1-8 DSP chip-select provision (8-DSP scaling -- only CS1/CS2 live on DSP4; CS3/CS4 wired as DSP1/2 SPI_RDY)"". CS5-CS8 reach no fitted part, so no read can answer and none ever will on this board.",2026-09-22T19:02:30Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS8 (fw.csv Dsp8),DC1-CS8,NO DATA,CS8 has no part behind it on DSP4,n/a -- 8-DSP scaling provision,"SPEC CORRECTION. hardware-map.md:410-411: ""CS1-8 DSP chip-select provision (8-DSP scaling -- only CS1/CS2 live on DSP4; CS3/CS4 wired as DSP1/2 SPI_RDY)"". CS5-CS8 reach no fitted part, so no read can answer and none ever will on this board.",2026-09-22T19:02:30Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS1 (fw.csv Dsp1),DC2-CS1,PASS,"CS1: CHIP_ID 1 BUILD_ID 0x20260812, build cfg triple ['0xCF45FF10', '0xE2018E6F', '0xC47C0F26'] (S82-signed: True)","id answers behind the select; fw.csv Dsp1 declares a pin and net, not a part number, so there is nothing on the wire to match it against","chip 1: raw 0xCF45FF10 BLOCK 16 CCLK 983.040 MHz BLOCK_MASK 7 on: DSP4_BLOCK_KERNELS, DSP4_BLK_LATCH, DSP4_CHAN_MASK, DSP4_SCOPE_GATE, DSP4_BQ_FLOAT, DSP4_GAIN_FLOAT, DSP4_BQ_ROUNDONCE off: DSP4_BISECT, DSP4_TXPROBE, DSP4_PROFILE_SIGNAL, DSP4_BQ_GUARD budget 327680 cycles/block (983.040 MHz x 16 / 48000) == the shipping configuration raw2 0xE2018E6F DSP4_TX_EARLY 2 (chip 2 TX) — outputs written...",2026-09-22T19:02:31Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS2 (fw.csv Dsp2),DC2-CS2,PASS,"CS2: CHIP_ID 2 BUILD_ID 0x20260812, build cfg triple ['0xCF45FF10', '0xE2018E6F', '0xC47C0F26'] (S82-signed: True)","id answers behind the select; fw.csv Dsp2 declares a pin and net, not a part number, so there is nothing on the wire to match it against","chip 2: raw 0xCF45FF10 BLOCK 16 CCLK 983.040 MHz BLOCK_MASK 7 on: DSP4_BLOCK_KERNELS, DSP4_BLK_LATCH, DSP4_CHAN_MASK, DSP4_SCOPE_GATE, DSP4_BQ_FLOAT, DSP4_GAIN_FLOAT, DSP4_BQ_ROUNDONCE off: DSP4_BISECT, DSP4_TXPROBE, DSP4_PROFILE_SIGNAL, DSP4_BQ_GUARD budget 327680 cycles/block (983.040 MHz x 16 / 48000) == the shipping configuration raw2 0xE2018E6F DSP4_TX_EARLY 2 (chip 2 TX) — outputs written...",2026-09-22T19:02:32Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS3 (fw.csv Dsp3),DC2-CS3,NO DATA,CS3 is not a chip select on DSP4: 8: ip    pu | hi // GPIO8 = input,n/a -- assert-one-read-one does not apply,"SPEC CORRECTION. CS3/CS4 are wired to DSPA/DSPB SPI_RDY and are INPUTS (MW/D24/HW/hardware-map.md:193-195; dsp4_boot.py RDY_GPIO = {1: 8, 2: 12}). Level read at the CM4 end: 8: ip pu | hi // GPIO8 = input. A 10K pulldown on each part rests the line ASSERTED, so the level does not prove a part is alive either.",2026-09-22T19:02:32Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS4 (fw.csv Dsp4),DC2-CS4,NO DATA,CS4 is not a chip select on DSP4: 12: ip    pd | hi // GPIO12 = input,n/a -- assert-one-read-one does not apply,"SPEC CORRECTION. CS3/CS4 are wired to DSPA/DSPB SPI_RDY and are INPUTS (MW/D24/HW/hardware-map.md:193-195; dsp4_boot.py RDY_GPIO = {1: 8, 2: 12}). Level read at the CM4 end: 12: ip pd | hi // GPIO12 = input. A 10K pulldown on each part rests the line ASSERTED, so the level does not prove a part is alive either.",2026-09-22T19:02:33Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS5 (fw.csv Dsp5),DC2-CS5,NO DATA,CS5 has no part behind it on DSP4,n/a -- 8-DSP scaling provision,"SPEC CORRECTION. hardware-map.md:410-411: ""CS1-8 DSP chip-select provision (8-DSP scaling -- only CS1/CS2 live on DSP4; CS3/CS4 wired as DSP1/2 SPI_RDY)"". CS5-CS8 reach no fitted part, so no read can answer and none ever will on this board.",2026-09-22T19:02:33Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS6 (fw.csv Dsp6),DC2-CS6,NO DATA,CS6 has no part behind it on DSP4,n/a -- 8-DSP scaling provision,"SPEC CORRECTION. hardware-map.md:410-411: ""CS1-8 DSP chip-select provision (8-DSP scaling -- only CS1/CS2 live on DSP4; CS3/CS4 wired as DSP1/2 SPI_RDY)"". CS5-CS8 reach no fitted part, so no read can answer and none ever will on this board.",2026-09-22T19:02:33Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS7 (fw.csv Dsp7),DC2-CS7,NO DATA,CS7 has no part behind it on DSP4,n/a -- 8-DSP scaling provision,"SPEC CORRECTION. hardware-map.md:410-411: ""CS1-8 DSP chip-select provision (8-DSP scaling -- only CS1/CS2 live on DSP4; CS3/CS4 wired as DSP1/2 SPI_RDY)"". CS5-CS8 reach no fitted part, so no read can answer and none ever will on this board.",2026-09-22T19:02:33Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS8 (fw.csv Dsp8),DC2-CS8,NO DATA,CS8 has no part behind it on DSP4,n/a -- 8-DSP scaling provision,"SPEC CORRECTION. hardware-map.md:410-411: ""CS1-8 DSP chip-select provision (8-DSP scaling -- only CS1/CS2 live on DSP4; CS3/CS4 wired as DSP1/2 SPI_RDY)"". CS5-CS8 reach no fitted part, so no read can answer and none ever will on this board.",2026-09-22T19:02:33Z
