# patch-paths.csv -- GENERATED by tools/accept/gen_patch_paths.py (S121). Do not edit.
# ONE row per measurement. Rows sharing a `patch` id are sub-tests of ONE physical
# connection and the operator is prompted once for the lot.
#   lead        which of the five kit leads this patch uses (see patch-plan.md)
#   out / in    D24 PANEL names. J numbers belong in records, never in a prompt
#   drive       which bus the oscillator is routed to: the `route` column's cells do it
#   lane        MeasChan: 1..24 a strip, 51/53/55 the codec return lanes
#   donor       the strip the oscillator replaces (never the lane under test)
#   expect      tone = a tone must be there; null = it must cancel; noise = no tone at all
#   level_ref   ref = this reading SETS the lane's balanced reference
#               single = about -6.02 dB under that reference (one leg of a balanced pair)
#               null   = at or below -30 dB relative to the same jack's single-ended reading
#               ein    = the input noise window, limits.csv t4b_ein_max_dbu
#               info   = measured and reported, not judged (no window ruled yet)
#   polarity    ref = sets the lane's reference phase; normal/inverted = against it;
#               info = reported only; - = not applicable
path,patch,lead,block,out,in,sub,drive,lane,donor,route,freq_hz,level_dbfs,expect,level_ref,polarity,rows,prompt,note
43,P43,K4,the line inputs,AUX 1,MIC 18 line,,aux:1,18,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 18,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
44,P44,K4,the line inputs,AUX 1,MIC 19 line,,aux:1,19,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 19,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
45,P45,K4,the line inputs,AUX 1,MIC 20 line,,aux:1,20,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 20,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
46,P46,K4,the line inputs,AUX 1,MIC 21 line,,aux:1,21,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 21,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
47,P47,K4,the line inputs,AUX 1,MIC 22 line,,aux:1,22,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 22,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
48,P48,K4,the line inputs,AUX 1,MIC 23 line,,aux:1,23,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 23,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
49,P49,K4,the line inputs,AUX 1,MIC 24 line,,aux:1,24,1,aux1@1,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 24,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
50,P50,K2,the TRS outputs,MONITOR L,MIC 5,,xover:ctr,5,24,xoverctr@24,1000.0,-12.0,tone,info,normal,9 36,Patch MONITOR L to MIC 5,"the crossover CENTRE leg, tested in its passband"
51,P51,K2,the TRS outputs,MONITOR R,MIC 5,,xover:sub,5,24,xoversub@24,100.0,-12.0,tone,info,normal,9 37,Patch MONITOR R to MIC 5,"the crossover SUB leg: a 1 kHz tone is what the crossover exists to keep out of it, so this one path is tested at 100 Hz"
52,P52,K2,the TRS outputs,AUX A 1-2,MIC 5,L,aux:1,5,24,aux1@24,1000.0,-12.0,tone,single,normal,9 39,Patch AUX A 1-2 to MIC 5,tip alone: one leg of aux 1 into a balanced input
53,P52,K2,the TRS outputs,AUX A 1-2,MIC 5,R,aux:2,5,24,aux2@24,1000.0,-12.0,tone,single,inverted,9 39,Patch AUX A 1-2 to MIC 5,"ring alone: the input reads tip minus ring, so a healthy ring reads inverted against the tip"
54,P52,K2,the TRS outputs,AUX A 1-2,MIC 5,null,aux:1+2,5,24,aux1p2@24,1000.0,-12.0,null,null,-,9 39,Patch AUX A 1-2 to MIC 5,both in phase: what is left is the L/R match. A crossed or absent channel cannot null
55,P53,K2,the TRS outputs,AUX A 3-4,MIC 5,L,aux:3,5,24,aux3@24,1000.0,-12.0,tone,single,normal,9 40,Patch AUX A 3-4 to MIC 5,tip alone: one leg of aux 3 into a balanced input
56,P53,K2,the TRS outputs,AUX A 3-4,MIC 5,R,aux:4,5,24,aux4@24,1000.0,-12.0,tone,single,inverted,9 40,Patch AUX A 3-4 to MIC 5,"ring alone: the input reads tip minus ring, so a healthy ring reads inverted against the tip"
57,P53,K2,the TRS outputs,AUX A 3-4,MIC 5,null,aux:3+4,5,24,aux3p4@24,1000.0,-12.0,null,null,-,9 40,Patch AUX A 3-4 to MIC 5,both in phase: what is left is the L/R match. A crossed or absent channel cannot null
58,P54,K2,the TRS outputs,AUX A 5-6,MIC 5,L,aux:5,5,24,aux5@24,1000.0,-12.0,tone,single,normal,9 41,Patch AUX A 5-6 to MIC 5,tip alone: one leg of aux 5 into a balanced input
59,P54,K2,the TRS outputs,AUX A 5-6,MIC 5,R,aux:6,5,24,aux6@24,1000.0,-12.0,tone,single,inverted,9 41,Patch AUX A 5-6 to MIC 5,"ring alone: the input reads tip minus ring, so a healthy ring reads inverted against the tip"
60,P54,K2,the TRS outputs,AUX A 5-6,MIC 5,null,aux:5+6,5,24,aux5p6@24,1000.0,-12.0,null,null,-,9 41,Patch AUX A 5-6 to MIC 5,both in phase: what is left is the L/R match. A crossed or absent channel cannot null
61,P55,K2,the TRS outputs,AUX A 7-8,MIC 5,L,aux:7,5,24,aux7@24,1000.0,-12.0,tone,single,normal,9 42,Patch AUX A 7-8 to MIC 5,tip alone: one leg of aux 7 into a balanced input
62,P55,K2,the TRS outputs,AUX A 7-8,MIC 5,R,aux:8,5,24,aux8@24,1000.0,-12.0,tone,single,inverted,9 42,Patch AUX A 7-8 to MIC 5,"ring alone: the input reads tip minus ring, so a healthy ring reads inverted against the tip"
63,P55,K2,the TRS outputs,AUX A 7-8,MIC 5,null,aux:7+8,5,24,aux7p8@24,1000.0,-12.0,null,null,-,9 42,Patch AUX A 7-8 to MIC 5,both in phase: what is left is the L/R match. A crossed or absent channel cannot null
