# patch-paths.csv -- GENERATED by tools/accept/gen_patch_paths.py (S121). Do not edit.
# ONE row per measurement. Rows sharing a `patch` id are sub-tests of ONE physical
# connection and the operator is prompted once for the lot.
#   lead        which of the five kit leads this patch uses (see patch-plan.md)
#   out / in    D24 PANEL names. J numbers belong in records, never in a prompt
#   drive       which bus the oscillator is routed to: the `route` column's cells do it
#   lane        MeasChan: 1..24 a strip, 51/53/55 the codec return lanes
#   donor       the strip the oscillator replaces (never the lane under test)
#   expect      tone = a tone must be there; null = it must cancel; noise = no tone at all
#   level_ref   ref = this reading SETS the lane's balanced reference
#               single = about -6.02 dB under that reference (one leg of a balanced pair)
#               null   = at or below -30 dB relative to the same jack's single-ended reading
#               ein    = the input noise window, limits.csv t4b_ein_max_dbu
#               info   = measured and reported, not judged (no window ruled yet)
#   polarity    ref = sets the lane's reference phase; normal/inverted = against it;
#               info = reported only; - = not applicable
path,patch,lead,block,out,in,sub,drive,lane,donor,route,freq_hz,level_dbfs,expect,level_ref,polarity,rows,prompt,note
21,P21,K1,the microphone inputs,AUX 1,MIC 21,,aux:1,21,24,aux1@24,1000.0,-12.0,tone,ref,ref,18 25,Patch AUX 1 to MIC 21,
22,P22,K1,the microphone inputs,AUX 1,MIC 22,,aux:1,22,24,aux1@24,1000.0,-12.0,tone,ref,ref,19 25,Patch AUX 1 to MIC 22,
23,P23,K1,the microphone inputs,AUX 1,MIC 23,,aux:1,23,24,aux1@24,1000.0,-12.0,tone,ref,ref,20 25,Patch AUX 1 to MIC 23,
24,P24,K1,the microphone inputs,AUX 1,MIC 24,,aux:1,24,1,aux1@1,1000.0,-12.0,tone,ref,ref,21 25,Patch AUX 1 to MIC 24,
25,P25,K1,the microphone inputs,AUX 1,TALKBACK,,aux:1,53,24,aux1@24,1000.0,-12.0,tone,info,info,25 38,Patch AUX 1 to TALKBACK,"the talkback XLR is on the AK4619 codec, not the mic preamps: a different gain law and about 23 dB more noise (S70), so its level is reported and not judged until PW rules a window"
26,P26,K5,the input noise rows,,MIC 1,,none,1,24,none@24,,,noise,ein,-,1,Fit the 150 ohm terminator in MIC 1,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
27,P27,K5,the input noise rows,,MIC 2,,none,2,24,none@24,,,noise,ein,-,2,Fit the 150 ohm terminator in MIC 2,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
28,P28,K5,the input noise rows,,MIC 3,,none,3,24,none@24,,,noise,ein,-,3,Fit the 150 ohm terminator in MIC 3,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
29,P29,K5,the input noise rows,,MIC 4,,none,4,24,none@24,,,noise,ein,-,4,Fit the 150 ohm terminator in MIC 4,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
30,P30,K5,the input noise rows,,MIC 5,,none,5,24,none@24,,,noise,ein,-,9,Fit the 150 ohm terminator in MIC 5,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
31,P31,K5,the input noise rows,,MIC 6,,none,6,24,none@24,,,noise,ein,-,10,Fit the 150 ohm terminator in MIC 6,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
32,P32,K5,the input noise rows,,MIC 7,,none,7,24,none@24,,,noise,ein,-,22,Fit the 150 ohm terminator in MIC 7,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
33,P33,K5,the input noise rows,,MIC 8,,none,8,24,none@24,,,noise,ein,-,23,Fit the 150 ohm terminator in MIC 8,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
34,P34,K5,the input noise rows,,MIC 9,,none,9,24,none@24,,,noise,ein,-,11,Fit the 150 ohm terminator in MIC 9,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
35,P35,K5,the input noise rows,,MIC 10,,none,10,24,none@24,,,noise,ein,-,12,Fit the 150 ohm terminator in MIC 10,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
36,P36,K5,the input noise rows,,MIC 11,,none,11,24,none@24,,,noise,ein,-,13,Fit the 150 ohm terminator in MIC 11,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
37,P37,K5,the input noise rows,,MIC 12,,none,12,24,none@24,,,noise,ein,-,14,Fit the 150 ohm terminator in MIC 12,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
38,P38,K5,the input noise rows,,MIC 13,,none,13,24,none@24,,,noise,ein,-,5,Fit the 150 ohm terminator in MIC 13,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
39,P39,K5,the input noise rows,,MIC 14,,none,14,24,none@24,,,noise,ein,-,6,Fit the 150 ohm terminator in MIC 14,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
40,P40,K5,the input noise rows,,MIC 15,,none,15,24,none@24,,,noise,ein,-,7,Fit the 150 ohm terminator in MIC 15,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
41,P41,K5,the input noise rows,,MIC 16,,none,16,24,none@24,,,noise,ein,-,8,Fit the 150 ohm terminator in MIC 16,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
42,P42,K5,the input noise rows,,MIC 17,,none,17,24,none@24,,,noise,ein,-,15,Fit the 150 ohm terminator in MIC 17,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
43,P43,K5,the input noise rows,,MIC 18,,none,18,24,none@24,,,noise,ein,-,16,Fit the 150 ohm terminator in MIC 18,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
44,P44,K5,the input noise rows,,MIC 19,,none,19,24,none@24,,,noise,ein,-,17,Fit the 150 ohm terminator in MIC 19,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
45,P45,K5,the input noise rows,,MIC 20,,none,20,24,none@24,,,noise,ein,-,24,Fit the 150 ohm terminator in MIC 20,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
46,P46,K5,the input noise rows,,MIC 21,,none,21,24,none@24,,,noise,ein,-,18,Fit the 150 ohm terminator in MIC 21,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
47,P47,K5,the input noise rows,,MIC 22,,none,22,24,none@24,,,noise,ein,-,19,Fit the 150 ohm terminator in MIC 22,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
48,P48,K5,the input noise rows,,MIC 23,,none,23,24,none@24,,,noise,ein,-,20,Fit the 150 ohm terminator in MIC 23,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
49,P49,K5,the input noise rows,,MIC 24,,none,24,1,none@1,,,noise,ein,-,21,Fit the 150 ohm terminator in MIC 24,EIN at the gain the 2026-09-16 survey used; the window is limits.csv t4b_ein_max_dbu
50,P50,K4,the line inputs,AUX 1,MIC 1 line,,aux:1,1,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 1,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
51,P51,K4,the line inputs,AUX 1,MIC 2 line,,aux:1,2,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 2,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
52,P52,K4,the line inputs,AUX 1,MIC 3 line,,aux:1,3,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 3,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
53,P53,K4,the line inputs,AUX 1,MIC 4 line,,aux:1,4,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 4,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
54,P54,K4,the line inputs,AUX 1,MIC 5 line,,aux:1,5,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 5,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
55,P55,K4,the line inputs,AUX 1,MIC 6 line,,aux:1,6,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 6,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
56,P56,K4,the line inputs,AUX 1,MIC 7 line,,aux:1,7,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 7,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
57,P57,K4,the line inputs,AUX 1,MIC 8 line,,aux:1,8,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 8,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
58,P58,K4,the line inputs,AUX 1,MIC 9 line,,aux:1,9,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 9,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
59,P59,K4,the line inputs,AUX 1,MIC 10 line,,aux:1,10,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 10,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
60,P60,K4,the line inputs,AUX 1,MIC 11 line,,aux:1,11,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 11,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
61,P61,K4,the line inputs,AUX 1,MIC 12 line,,aux:1,12,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 12,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
62,P62,K4,the line inputs,AUX 1,MIC 13 line,,aux:1,13,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 13,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
63,P63,K4,the line inputs,AUX 1,MIC 14 line,,aux:1,14,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 14,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
64,P64,K4,the line inputs,AUX 1,MIC 15 line,,aux:1,15,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 15,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
65,P65,K4,the line inputs,AUX 1,MIC 16 line,,aux:1,16,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 16,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
66,P66,K4,the line inputs,AUX 1,MIC 17 line,,aux:1,17,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 17,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
67,P67,K4,the line inputs,AUX 1,MIC 18 line,,aux:1,18,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 18,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
68,P68,K4,the line inputs,AUX 1,MIC 19 line,,aux:1,19,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 19,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
69,P69,K4,the line inputs,AUX 1,MIC 20 line,,aux:1,20,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 20,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
70,P70,K4,the line inputs,AUX 1,MIC 21 line,,aux:1,21,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 21,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
71,P71,K4,the line inputs,AUX 1,MIC 22 line,,aux:1,22,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 22,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
72,P72,K4,the line inputs,AUX 1,MIC 23 line,,aux:1,23,24,aux1@24,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 23,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
73,P73,K4,the line inputs,AUX 1,MIC 24 line,,aux:1,24,1,aux1@1,1000.0,-12.0,tone,info,normal,,Patch AUX 1 to the TRS centre of MIC 24,"no catalog row declares the combo TRS line path, and nothing in defs says how it is selected: level reported, tone presence judged"
74,P74,K2,the TRS outputs,MONITOR L,MIC 1,,xover:ctr,1,24,xoverctr@24,1000.0,-12.0,tone,info,normal,1 36,Patch MONITOR L to MIC 1,"the crossover CENTRE leg, tested in its passband"
75,P75,K2,the TRS outputs,MONITOR R,MIC 1,,xover:sub,1,24,xoversub@24,100.0,-12.0,tone,info,normal,1 37,Patch MONITOR R to MIC 1,"the crossover SUB leg: a 1 kHz tone is what the crossover exists to keep out of it, so this one path is tested at 100 Hz"
76,P76,K2,the TRS outputs,AUX A 1-2,MIC 1,L,aux:1,1,24,aux1@24,1000.0,-12.0,tone,single,normal,1 39,Patch AUX A 1-2 to MIC 1,tip alone: one leg of aux 1 into a balanced input
77,P76,K2,the TRS outputs,AUX A 1-2,MIC 1,R,aux:2,1,24,aux2@24,1000.0,-12.0,tone,single,inverted,1 39,Patch AUX A 1-2 to MIC 1,"ring alone: the input reads tip minus ring, so a healthy ring reads inverted against the tip"
78,P76,K2,the TRS outputs,AUX A 1-2,MIC 1,null,aux:1+2,1,24,aux1p2@24,1000.0,-12.0,null,null,-,1 39,Patch AUX A 1-2 to MIC 1,both in phase: what is left is the L/R match. A crossed or absent channel cannot null
79,P77,K2,the TRS outputs,AUX A 3-4,MIC 1,L,aux:3,1,24,aux3@24,1000.0,-12.0,tone,single,normal,1 40,Patch AUX A 3-4 to MIC 1,tip alone: one leg of aux 3 into a balanced input
80,P77,K2,the TRS outputs,AUX A 3-4,MIC 1,R,aux:4,1,24,aux4@24,1000.0,-12.0,tone,single,inverted,1 40,Patch AUX A 3-4 to MIC 1,"ring alone: the input reads tip minus ring, so a healthy ring reads inverted against the tip"
81,P77,K2,the TRS outputs,AUX A 3-4,MIC 1,null,aux:3+4,1,24,aux3p4@24,1000.0,-12.0,null,null,-,1 40,Patch AUX A 3-4 to MIC 1,both in phase: what is left is the L/R match. A crossed or absent channel cannot null
82,P78,K2,the TRS outputs,AUX A 5-6,MIC 1,L,aux:5,1,24,aux5@24,1000.0,-12.0,tone,single,normal,1 41,Patch AUX A 5-6 to MIC 1,tip alone: one leg of aux 5 into a balanced input
83,P78,K2,the TRS outputs,AUX A 5-6,MIC 1,R,aux:6,1,24,aux6@24,1000.0,-12.0,tone,single,inverted,1 41,Patch AUX A 5-6 to MIC 1,"ring alone: the input reads tip minus ring, so a healthy ring reads inverted against the tip"
84,P78,K2,the TRS outputs,AUX A 5-6,MIC 1,null,aux:5+6,1,24,aux5p6@24,1000.0,-12.0,null,null,-,1 41,Patch AUX A 5-6 to MIC 1,both in phase: what is left is the L/R match. A crossed or absent channel cannot null
85,P79,K2,the TRS outputs,AUX A 7-8,MIC 1,L,aux:7,1,24,aux7@24,1000.0,-12.0,tone,single,normal,1 42,Patch AUX A 7-8 to MIC 1,tip alone: one leg of aux 7 into a balanced input
86,P79,K2,the TRS outputs,AUX A 7-8,MIC 1,R,aux:8,1,24,aux8@24,1000.0,-12.0,tone,single,inverted,1 42,Patch AUX A 7-8 to MIC 1,"ring alone: the input reads tip minus ring, so a healthy ring reads inverted against the tip"
87,P79,K2,the TRS outputs,AUX A 7-8,MIC 1,null,aux:7+8,1,24,aux7p8@24,1000.0,-12.0,null,null,-,1 42,Patch AUX A 7-8 to MIC 1,both in phase: what is left is the L/R match. A crossed or absent channel cannot null
88,P80,K3,the mini-jack inputs,AUX 1,MINI-JACK 1,L,aux:1,51,24,aux1@24,1000.0,-12.0,tone,single,info,95,"Patch AUX 1 to MINI-JACK 1, with MINI-JACK 2 empty","pin 2 reaches the tip, so the left lane carries the drive as it stands"
89,P80,K3,the mini-jack inputs,AUX 1,MINI-JACK 1,R,aux:1,55,24,aux1@24,1000.0,-12.0,tone,single,info,95,"Patch AUX 1 to MINI-JACK 1, with MINI-JACK 2 empty","pin 3 reaches the ring, so the right lane carries the drive inverted. An inverted LEFT is a channel swap, not two failures"
90,P81,K3,the mini-jack inputs,AUX 1,MINI-JACK 2,L,aux:1,51,24,aux1@24,1000.0,-12.0,tone,single,info,96,"Patch AUX 1 to MINI-JACK 2, with MINI-JACK 1 empty","pin 2 reaches the tip, so the left lane carries the drive as it stands"
91,P81,K3,the mini-jack inputs,AUX 1,MINI-JACK 2,R,aux:1,55,24,aux1@24,1000.0,-12.0,tone,single,info,96,"Patch AUX 1 to MINI-JACK 2, with MINI-JACK 1 empty","pin 3 reaches the ring, so the right lane carries the drive inverted. An inverted LEFT is a channel swap, not two failures"
